Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
6,15874.53,874.53,3.753348,3.936044,4.054569,1.583889,213.64999999999964,1.4101,233,50,1.50
13,15812.80,812.80,3.661261,3.789293,3.768371,1.514315,213.65000000000146,1.4107,222,50,1.75
2,15791.57,791.57,3.068101,3.647923,3.083879,1.456118,246.02999999999884,1.6460,258,30,1.50
20,15774.70,774.70,3.873500,3.923176,3.591729,1.486434,210.14999999999964,1.4119,200,50,2.00
9,15769.99,769.99,3.117368,3.624280,2.999805,1.431294,246.02999999999884,1.6478,247,30,1.75
16,15744.08,744.08,3.249258,3.704762,2.898862,1.408648,246.02999999999884,1.6498,229,30,2.00
3,15725.68,725.68,3.036318,3.882084,3.289872,1.752834,196.93000000000029,1.4447,239,35,1.50
27,15709.81,709.81,3.755608,3.753977,3.290880,1.471241,191.88999999999942,1.4119,189,50,2.25
0,15703.49,703.49,2.906983,4.465639,2.897525,1.727583,217.85000000000036,1.5894,242,20,1.50
1,15697.01,697.01,2.904208,4.259950,3.159897,1.739179,213.65000000000146,1.4477,240,25,1.50
7,15687.41,687.41,2.937650,4.814494,2.831295,1.730488,217.85000000000036,1.5903,234,20,1.75
8,15672.71,672.71,2.950482,4.274643,3.049733,1.688770,213.64999999999964,1.4483,228,25,1.75
14,15671.90,671.90,2.986222,4.734022,2.767412,1.713465,217.84999999999854,1.5907,225,20,2.00
15,15655.21,655.21,3.005550,4.510555,2.970396,1.667129,213.64999999999964,1.4490,218,25,2.00
10,15645.96,645.96,2.963119,3.871061,2.928461,1.711931,196.93000000000029,1.4467,218,35,1.75
5,15640.25,640.25,2.977907,3.525243,2.968381,1.471975,213.64999999999964,1.4160,215,45,1.50
4,15635.36,635.36,2.738621,3.484884,2.889970,1.561947,196.93000000000029,1.4406,232,40,1.50
12,15630.17,630.17,3.000810,3.485486,2.921647,1.455140,213.65000000000146,1.4158,210,45,1.75
17,15614.49,614.49,3.042030,3.749765,2.785792,1.637502,196.93000000000029,1.4470,202,35,2.00
19,15600.29,600.29,3.047157,3.560200,2.783115,1.412199,213.64999999999964,1.4173,197,45,2.00
11,15584.13,584.13,2.755330,3.515850,2.648155,1.538738,196.93000000000029,1.4474,212,40,1.75
34,15582.59,582.59,4.074056,3.614270,2.701052,1.424801,191.88999999999942,1.4179,143,50,2.50
22,15564.88,564.88,2.867411,3.997665,2.560885,1.499910,213.64999999999964,1.4541,197,25,2.25
18,15563.99,563.99,2.805920,3.475052,2.556850,1.514238,196.93000000000029,1.4477,201,40,2.00
25,15561.55,561.55,3.245954,3.514215,2.545788,1.427179,213.65000000000146,1.4498,173,40,2.25
23,15560.19,560.19,3.011774,3.167247,2.262937,1.233186,242.22000000000116,1.6091,186,30,2.25
24,15550.53,550.53,3.182254,3.777649,2.495829,1.609690,196.93000000000029,1.4500,173,35,2.25
41,15545.46,545.46,4.294961,3.533841,2.528907,1.391356,191.89000000000124,1.4185,127,50,2.75
21,15536.29,536.29,2.681450,4.093148,2.431272,1.525469,213.64999999999964,1.4505,200,20,2.25
30,15511.85,511.85,3.028698,3.060920,2.067663,1.165156,242.21999999999935,1.6136,169,30,2.50
31,15504.95,504.95,3.366333,3.732118,2.341091,1.553346,191.89000000000124,1.4179,150,35,2.50
28,15503.45,503.45,2.706720,4.017200,2.282392,1.467252,213.64999999999964,1.4509,186,20,2.50
26,15498.17,498.17,2.879595,3.320307,2.309657,1.365751,191.88999999999942,1.4178,173,45,2.25
48,15475.15,475.15,4.242411,3.262727,2.202930,1.279719,191.89000000000124,1.4223,112,50,3.00
35,15473.73,473.73,2.819821,4.064032,2.147656,1.454774,213.64999999999964,1.4512,168,20,2.75
38,15466.78,466.78,3.509624,3.627822,2.164124,1.509548,191.89000000000124,1.4186,133,35,2.75
29,15466.41,466.41,2.665200,3.693520,2.114471,1.444252,196.93000000000029,1.4550,175,25,2.50
32,15460.89,460.89,3.135306,3.223192,2.136817,1.370505,191.88999999999942,1.4183,147,40,2.50
33,15419.94,419.94,3.087794,3.111631,1.946961,1.270307,191.88999999999942,1.4199,136,45,2.50
39,15414.99,414.99,3.267638,3.087790,1.924011,1.320194,191.88999999999942,1.4217,127,40,2.75
45,15403.17,403.17,3.475603,3.304092,1.869210,1.394574,191.88999999999942,1.4204,116,35,3.00
40,15398.54,398.54,3.293719,3.155202,1.847744,1.260052,191.88999999999942,1.4220,121,45,2.75
37,15395.02,395.02,2.762378,3.016952,1.831425,1.260988,191.88999999999942,1.4239,143,30,2.75
42,15394.29,394.29,2.738125,3.686814,1.787515,1.432848,196.93000000000029,1.4526,144,20,3.00
36,15372.91,372.91,2.571793,3.352448,1.690588,1.302900,196.93000000000029,1.4559,145,25,2.75
46,15372.87,372.87,3.270789,2.998981,1.728731,1.243468,191.88999999999942,1.4219,114,40,3.00
44,15363.40,363.40,2.954472,2.914143,1.684825,1.230963,191.89000000000124,1.4233,123,30,3.00
47,15353.91,353.91,3.217364,2.919876,1.640827,1.151231,191.88999999999942,1.4227,110,45,3.00
43,15314.24,314.24,2.534194,3.051443,1.456906,1.205201,191.88999999999942,1.4245,124,25,3.00
