Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
5,15811.47,811.47,3.353182,2.373255,1.732911,0.871387,440.61000000000058,3.0962,242,45,1.50
12,15805.91,805.91,3.581822,2.445968,1.721037,0.891314,440.60999999999876,3.0966,225,45,1.75
3,15776.37,776.37,3.130524,2.320312,1.657954,0.858641,440.61000000000058,3.0937,248,35,1.50
19,15758.20,758.20,3.698537,2.565559,1.619151,0.982108,440.61000000000058,3.0959,205,45,2.00
6,15755.09,755.09,3.495787,2.339715,1.612510,0.848518,440.60999999999876,3.0954,216,50,1.50
10,15751.99,751.99,3.241336,2.280201,1.605890,0.836188,440.61000000000058,3.0947,232,35,1.75
13,15749.22,749.22,3.567714,2.372248,1.599974,0.880353,440.61000000000058,3.0963,210,50,1.75
4,15746.46,746.46,3.110250,2.313173,1.594080,0.823723,440.61000000000058,3.0932,240,40,1.50
11,15737.80,737.80,3.250220,2.345295,1.575587,0.830966,440.61000000000058,3.0943,227,40,1.75
2,15733.35,733.35,2.993265,2.325172,1.566084,0.916732,440.61000000000058,3.0944,245,30,1.50
9,15719.11,719.11,3.099612,2.301156,1.535674,0.899602,440.61000000000058,3.0955,232,30,1.75
16,15694.12,694.12,3.169498,2.273638,1.482307,0.875573,440.61000000000058,3.0981,219,30,2.00
1,15673.55,673.55,2.694200,2.169033,1.409454,0.821737,450.22000000000116,3.1582,250,25,1.50
8,15671.94,671.94,2.765185,2.174104,1.406085,0.820600,450.21999999999935,3.1583,243,25,1.75
0,15666.86,666.86,2.615137,2.207489,1.395455,0.828259,450.21999999999935,3.1569,255,20,1.50
15,15651.78,651.78,2.809397,2.140472,1.363899,0.804482,450.22000000000116,3.1612,232,25,2.00
7,15644.65,644.65,2.620528,2.168225,1.348979,0.808775,450.22000000000116,3.1597,246,20,1.75
20,15641.32,641.32,3.411277,2.508704,1.891688,1.075296,338.05000000000109,2.2340,188,50,2.00
26,15637.39,637.39,3.642229,2.816961,2.193661,1.293909,257.64999999999964,1.9064,175,45,2.25
17,15631.03,631.03,3.093284,2.281565,1.500380,0.933975,413.40999999999985,2.7714,204,35,2.00
18,15627.20,627.20,3.029952,2.336288,1.504077,0.934348,409.82999999999993,2.7472,207,40,2.00
27,15587.84,587.84,3.478343,2.461525,1.733939,1.014632,338.05000000000109,2.2353,169,50,2.25
25,15583.90,583.90,3.139247,2.354662,1.722317,0.953331,338.05000000000109,2.2348,186,40,2.25
23,15581.70,581.70,2.879703,2.231372,2.001996,1.030839,261.09000000000015,1.9088,202,30,2.25
29,15579.19,579.19,2.925202,2.251410,1.868777,0.995658,273.14999999999964,2.0337,198,25,2.50
24,15571.28,571.28,3.088000,2.216007,1.389536,0.882056,403.80999999999949,2.7112,185,35,2.25
21,15560.61,560.61,2.619673,2.263318,1.929412,0.964229,261.09000000000015,1.9056,214,20,2.25
22,15556.17,556.17,2.611127,2.107158,1.794502,0.941391,273.15000000000146,2.0338,213,25,2.25
14,15550.10,550.10,2.412719,2.134274,2.172505,0.942695,261.09000000000015,1.6638,228,20,2.00
30,15548.85,548.85,2.999180,2.179080,1.888939,0.995637,261.09000000000015,1.9100,183,30,2.50
28,15522.73,522.73,2.626784,2.198427,1.799043,0.913799,261.09000000000015,1.9076,199,20,2.50
36,15509.98,509.98,2.965000,2.176506,1.645468,0.936706,273.14999999999964,2.0375,172,25,2.75
33,15502.50,502.50,3.589286,2.706282,1.729419,1.262907,257.64999999999964,1.9170,140,45,2.50
34,15499.99,499.99,3.787803,2.693102,1.720781,1.200078,257.64999999999964,1.9126,132,50,2.50
37,15473.96,473.96,3.246301,2.274086,1.631195,0.980439,261.09000000000015,1.9102,146,30,2.75
31,15456.05,456.05,2.850313,2.155962,1.569555,0.935026,257.64999999999964,1.9125,160,35,2.50
32,15443.32,443.32,3.078611,2.434089,1.525743,1.099780,257.65000000000146,1.9148,144,40,2.50
39,15421.19,421.19,3.452377,2.728810,1.449580,1.153047,257.65000000000146,1.9171,122,40,2.75
47,15418.40,418.40,4.062136,3.561058,1.439978,1.416318,257.64999999999964,1.9196,103,45,3.00
44,15415.51,415.51,3.297698,2.222556,1.430032,0.926099,261.09000000000015,1.9129,126,30,3.00
40,15414.43,414.43,3.603739,3.147751,1.426315,1.347403,257.64999999999964,1.9193,115,45,2.75
38,15411.72,411.72,3.167077,2.133403,1.416988,0.924195,257.64999999999964,1.9132,130,35,2.75
43,15407.90,407.90,2.852448,2.294386,1.316104,1.046704,273.14999999999964,2.0440,143,25,3.00
48,15403.73,403.73,4.205521,3.113438,1.389489,1.179172,257.64999999999964,1.9182,96,50,3.00
41,15399.75,399.75,3.667431,2.783165,1.375792,1.127439,257.64999999999964,1.9177,109,50,2.75
35,15392.22,392.22,2.514231,2.363200,1.349876,1.057813,257.64999999999964,1.9187,156,20,2.75
45,15389.22,389.22,3.538364,2.462299,1.339551,1.114889,257.65000000000146,1.9169,110,35,3.00
46,15363.14,363.14,3.705510,2.920360,1.249794,1.155933,257.64999999999964,1.9208,98,40,3.00
42,15358.24,358.24,2.577266,2.264481,1.232930,1.017681,257.64999999999964,1.9195,139,20,3.00
