Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
2,19354.74,4354.74,13.737350,3.178198,1.115419,0.618481,3924.8099999999995,24.0385,317,30,1.50
13,19297.39,4297.39,16.985731,3.668656,1.103142,0.640510,3924.8099999999995,24.0800,253,50,1.75
6,19282.20,4282.20,16.533591,3.659322,1.099243,0.635204,3924.8099999999995,24.1026,259,50,1.50
20,19280.53,4280.53,17.190884,3.494685,1.098234,0.626636,3924.8099999999995,24.1148,249,50,2.00
3,18347.51,3347.51,11.121296,2.706329,1.129816,0.559405,3008.5799999999999,18.2196,301,35,1.50
10,18303.19,3303.19,11.839391,2.839736,1.114858,0.579379,3008.5799999999999,18.2694,279,35,1.75
5,18270.90,3270.90,12.250562,3.042194,1.104213,0.581340,3008.5799999999999,18.3123,267,45,1.50
9,18268.76,3268.76,11.080542,2.768398,1.103014,0.579932,3008.5799999999999,18.2857,295,30,1.75
12,18260.75,3260.75,13.201417,3.088350,1.098032,0.593690,3008.5799999999999,18.3401,247,45,1.75
11,18258.13,3258.13,12.294830,2.869427,1.100166,0.566459,3008.5799999999999,18.3138,265,40,1.75
4,18254.22,3254.22,12.008192,2.846638,1.098846,0.555101,3008.5799999999999,18.3182,271,40,1.50
17,17283.98,2283.98,9.027589,2.377585,0.803276,0.510824,2862.1000000000004,18.4214,253,35,2.00
19,17246.97,2246.97,9.643648,2.394940,0.790260,0.505416,2862.1000000000004,18.4868,233,45,2.00
24,17233.25,2233.25,9.383403,2.357071,0.785435,0.505205,2862.1000000000004,18.4238,238,35,2.25
16,17232.15,2232.15,8.391541,2.325489,0.785048,0.509450,2862.1000000000004,18.4426,266,30,2.00
23,17211.69,2211.69,8.918105,2.328183,0.777852,0.510746,2862.0999999999985,18.4456,248,30,2.25
18,17198.48,2198.48,9.395214,2.372669,0.773206,0.491327,2862.1000000000004,18.4925,234,40,2.00
26,17185.12,2185.12,9.977717,2.356998,0.767118,0.496194,2862.1000000000004,18.5203,219,45,2.25
25,17152.46,2152.46,9.783909,2.360758,0.757021,0.491091,2862.0999999999985,18.4937,220,40,2.25
30,17142.39,2142.39,10.105613,2.402905,0.753479,0.519665,2862.1000000000004,18.4519,212,30,2.50
31,17142.03,2142.03,10.448927,2.413023,0.751991,0.509169,2862.1000000000004,18.4997,205,35,2.50
1,17141.09,2141.09,7.486329,3.598410,1.622357,0.888517,1381.4200000000001,8.2487,286,25,1.50
8,17121.06,2121.06,7.602366,3.580773,1.605538,0.885366,1381.4200000000001,8.2668,279,25,1.75
15,17077.02,2077.02,7.779101,3.541568,1.572202,0.873440,1381.4200000000001,8.2896,267,25,2.00
32,17069.03,2069.03,10.345150,2.316194,0.726363,0.481066,2862.1000000000004,18.5675,200,40,2.50
37,17065.72,2065.72,11.106022,2.377762,0.726514,0.524010,2862.1000000000004,18.4989,186,30,2.75
33,17062.64,2062.64,10.913439,2.465078,0.724120,0.497915,2862.0999999999985,18.5457,189,45,2.50
27,17062.63,2062.63,10.523622,2.457648,0.720207,0.489366,2862.1000000000004,18.6494,196,50,2.25
22,16997.54,1997.54,8.153224,3.497081,1.510073,0.853952,1381.4200000000001,8.3400,245,25,2.25
34,16996.51,1996.51,11.474195,2.429243,0.697120,0.493156,2862.1000000000004,18.6494,174,50,2.50
0,16986.97,1986.97,6.996373,3.503995,1.497137,0.832154,1361.5300000000007,8.3521,284,20,1.50
7,16977.79,1977.79,7.063536,3.493275,1.490220,0.829622,1361.5300000000007,8.3569,280,20,1.75
29,16957.71,1957.71,9.457536,4.079177,1.479415,0.928114,1381.4199999999983,8.3622,207,25,2.50
14,16943.56,1943.56,7.389962,3.488298,1.462016,0.833836,1361.5300000000007,8.3876,263,20,2.00
21,16913.82,1913.82,7.686024,3.456702,1.439644,0.825380,1361.5300000000007,8.4034,249,20,2.25
28,16913.22,1913.22,8.776239,3.845825,1.439193,0.867668,1361.5300000000007,8.4002,218,20,2.50
44,16874.98,1874.98,12.096645,2.609701,0.658708,0.556304,2860.0699999999997,18.5192,155,30,3.00
38,16848.97,1848.97,10.812690,2.243732,0.633925,0.476092,2860.0699999999997,19.1473,171,35,2.75
39,16817.61,1817.61,11.289503,2.248959,0.618243,0.463605,2862.1000000000004,19.3230,161,40,2.75
36,16760.64,1760.64,10.801472,7.622931,1.312265,1.231118,1381.4200000000001,8.5784,163,25,2.75
35,16710.88,1710.88,10.005146,6.917543,1.286511,1.149328,1361.5300000000007,8.5119,171,20,2.75
41,16691.29,1691.29,11.350940,2.218781,0.570848,0.440979,2862.0999999999985,19.4279,149,50,2.75
45,16672.69,1672.69,12.033741,2.465138,0.577124,0.506084,2837.7399999999998,19.0267,139,35,3.00
40,16670.87,1670.87,11.684406,2.727783,0.565413,0.496251,2862.1000000000004,19.3797,143,45,2.75
46,16550.97,1550.97,13.256154,2.696254,0.529598,0.500717,2837.7399999999998,19.2576,117,40,3.00
43,16488.11,1488.11,10.941985,7.110833,1.109139,1.141182,1381.4200000000001,8.7305,136,25,3.00
42,16459.06,1459.06,10.275070,6.276126,1.096337,1.061741,1361.5299999999988,8.6572,142,20,3.00
48,15624.89,624.89,6.187030,1.858766,0.210082,0.254973,2858.1900000000005,19.5243,101,50,3.00
47,15601.72,601.72,6.140000,1.828873,0.204116,0.250346,2837.7399999999998,19.3563,98,45,3.00
