time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:02,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,14999.83,-0.17
2025.03.03 08:00:00,15000.00,14998.85,-1.15
2025.03.03 12:00:00,15000.00,14999.52,-0.48
2025.03.03 16:00:00,15000.00,15000.44,0.44
2025.03.03 20:00:00,15000.00,15001.93,1.93
2025.03.04 00:05:01,15000.00,14999.31,-0.69
2025.03.04 04:00:00,15000.00,14998.12,-1.88
2025.03.04 08:00:00,15000.00,14997.24,-2.76
2025.03.04 12:00:00,15000.00,14999.29,-0.71
2025.03.04 16:00:00,15000.00,14999.66,-0.34
2025.03.04 20:00:00,15000.00,14998.67,-1.33
2025.03.05 00:05:27,15000.00,15003.28,3.28
2025.03.05 04:00:00,15000.00,14997.73,-2.27
2025.03.05 08:00:00,15000.00,14999.02,-0.98
2025.03.05 12:00:00,15000.00,15007.93,7.93
2025.03.05 16:00:00,15007.90,15007.90,0.00
2025.03.05 20:00:00,15007.90,15007.90,0.00
2025.03.06 00:05:02,15007.90,15007.90,0.00
2025.03.06 04:00:00,15007.90,15007.90,0.00
2025.03.06 08:00:00,15007.90,15007.90,0.00
2025.03.06 12:00:00,15007.90,15007.90,0.00
2025.03.06 16:00:00,15007.90,15007.90,0.00
2025.03.06 20:00:00,15007.90,15007.90,0.00
2025.03.07 00:05:02,15007.90,15007.90,0.00
2025.03.07 04:00:00,15007.90,15007.90,0.00
2025.03.07 08:00:00,15007.90,15007.90,0.00
2025.03.07 12:00:01,15007.90,15007.90,0.00
2025.03.07 16:00:00,15007.90,15007.90,0.00
2025.03.07 20:00:00,15007.90,15007.90,0.00
2025.03.10 00:00:00,15007.90,15007.90,0.00
2025.03.10 04:00:00,15007.90,15007.90,0.00
2025.03.10 08:00:00,15007.90,15007.90,0.00
2025.03.10 12:00:00,15007.90,15007.90,0.00
2025.03.10 16:00:00,15007.90,15007.90,0.00
2025.03.10 20:00:00,15007.90,15007.90,0.00
2025.03.11 00:00:00,15007.90,15007.90,0.00
2025.03.11 04:00:00,15007.90,15007.90,0.00
2025.03.11 08:00:00,15007.90,15007.90,0.00
2025.03.11 12:00:00,15007.90,15007.90,0.00
2025.03.11 16:00:00,15007.90,15007.90,0.00
2025.03.11 20:00:00,15007.90,15007.90,0.00
2025.03.12 00:00:00,15007.90,15007.90,0.00
2025.03.12 04:00:00,15007.90,15007.90,0.00
2025.03.12 08:00:00,15007.90,15007.90,0.00
2025.03.12 12:00:00,15007.90,15007.90,0.00
2025.03.12 16:00:00,15007.90,15007.90,0.00
2025.03.12 20:00:00,15007.90,15007.90,0.00
2025.03.13 00:00:00,15007.90,15007.90,0.00
2025.03.13 04:00:00,15007.90,15007.90,0.00
2025.03.13 08:00:00,15007.90,15007.90,0.00
2025.03.13 12:00:00,15007.90,15007.90,0.00
2025.03.13 16:00:00,15007.90,15007.90,0.00
2025.03.13 20:00:00,15007.90,15007.90,0.00
2025.03.14 00:00:00,15007.90,15007.90,0.00
2025.03.14 04:00:00,15007.90,15007.90,0.00
2025.03.14 08:00:00,15007.90,15007.90,0.00
2025.03.14 12:00:00,15007.90,15007.75,-0.15
2025.03.14 16:00:00,15007.90,15009.38,1.48
2025.03.14 20:00:00,15009.34,15009.34,0.00
2025.03.17 00:00:00,15009.34,15009.34,0.00
2025.03.17 04:00:00,15009.34,15009.34,0.00
2025.03.17 08:00:00,15009.34,15009.34,0.00
2025.03.17 12:00:00,15009.34,15009.34,0.00
2025.03.17 16:00:00,15009.34,15009.34,0.00
2025.03.17 20:00:00,15009.34,15009.34,0.00
2025.03.18 00:00:00,15009.34,15009.34,0.00
2025.03.18 04:00:00,15009.34,15009.34,0.00
2025.03.18 08:00:00,15009.34,15009.34,0.00
2025.03.18 12:00:00,15009.34,15009.34,0.00
2025.03.18 16:00:00,15009.34,15009.20,-0.14
2025.03.18 20:00:00,15009.34,15009.06,-0.28
2025.03.19 00:00:00,15009.34,15009.15,-0.19
2025.03.19 04:00:00,15009.34,15009.15,-0.19
2025.03.19 08:00:00,15009.34,15009.45,0.11
2025.03.19 12:00:00,15009.34,15012.05,2.71
2025.03.19 16:00:00,15012.06,15012.06,0.00
2025.03.19 20:00:00,15012.06,15012.06,0.00
2025.03.20 00:00:00,15012.06,15012.06,0.00
2025.03.20 04:00:00,15012.06,15012.06,0.00
2025.03.20 08:00:00,15012.06,15012.06,0.00
2025.03.20 12:00:00,15012.06,15012.06,0.00
2025.03.20 16:00:00,15012.06,15012.06,0.00
2025.03.20 20:00:00,15012.06,15012.06,0.00
2025.03.21 00:00:00,15012.06,15012.06,0.00
2025.03.21 04:00:00,15012.06,15012.06,0.00
2025.03.21 08:00:00,15012.06,15012.06,0.00
2025.03.21 12:00:00,15012.06,15012.06,0.00
2025.03.21 16:00:00,15012.06,15012.06,0.00
2025.03.21 20:00:00,15012.06,15012.06,0.00
2025.03.24 00:00:00,15012.06,15012.06,0.00
2025.03.24 04:00:00,15012.06,15012.06,0.00
2025.03.24 08:00:00,15012.06,15012.06,0.00
2025.03.24 12:00:00,15012.06,15011.92,-0.14
2025.03.24 16:00:00,15012.06,15010.23,-1.83
2025.03.24 20:00:00,15012.06,15009.49,-2.57
2025.03.25 00:00:00,15012.06,15010.13,-1.93
2025.03.25 04:00:00,15012.06,15011.13,-0.93
2025.03.25 08:00:00,15012.06,15011.32,-0.74
2025.03.25 12:00:00,15012.06,15012.00,-0.06
2025.03.25 16:00:00,15012.06,15013.85,1.79
2025.03.25 20:00:00,15012.06,15012.77,0.71
2025.03.26 00:00:00,15012.06,15012.48,0.42
2025.03.26 04:00:00,15012.06,15012.38,0.32
2025.03.26 08:00:00,15012.06,15013.38,1.32
2025.03.26 12:00:00,15012.06,15014.55,2.49
2025.03.26 16:00:00,15014.53,15014.53,0.00
2025.03.26 20:00:00,15014.53,15014.53,0.00
2025.03.27 00:00:00,15014.53,15014.53,0.00
2025.03.27 04:00:00,15014.53,15014.53,0.00
2025.03.27 08:00:00,15014.53,15014.53,0.00
2025.03.27 12:00:00,15014.53,15014.53,0.00
2025.03.27 16:00:00,15014.53,15014.53,0.00
2025.03.27 20:00:00,15014.53,15014.53,0.00
2025.03.28 00:00:00,15014.53,15014.53,0.00
2025.03.28 04:00:00,15014.53,15014.53,0.00
2025.03.28 08:00:00,15014.53,15014.53,0.00
2025.03.28 12:00:00,15014.53,15014.53,0.00
2025.03.28 16:00:00,15014.53,15014.53,0.00
2025.03.28 20:00:00,15014.53,15014.53,0.00
2025.03.31 00:05:01,15014.53,15014.53,0.00
2025.03.31 04:00:00,15014.53,15014.53,0.00
2025.03.31 08:00:00,15014.53,15014.53,0.00
2025.03.31 12:00:00,15014.53,15014.53,0.00
2025.03.31 16:00:00,15014.53,15014.53,0.00
2025.03.31 20:00:00,15014.53,15014.53,0.00
2025.04.01 00:05:03,15014.53,15014.53,0.00
2025.04.01 04:00:00,15014.53,15014.53,0.00
2025.04.01 08:00:00,15014.53,15014.37,-0.16
2025.04.01 12:00:00,15014.53,15013.20,-1.33
2025.04.01 16:00:00,15014.53,15012.82,-1.71
2025.04.01 20:00:00,15014.53,15014.69,0.16
2025.04.02 00:05:01,15014.53,15015.33,0.80
2025.04.02 04:00:00,15014.53,15015.19,0.66
2025.04.02 08:00:00,15014.53,15017.39,2.86
2025.04.02 12:00:00,15017.40,15017.40,0.00
2025.04.02 16:00:00,15017.40,15017.40,0.00
2025.04.02 20:00:00,15017.40,15017.40,0.00
2025.04.03 00:05:10,15017.40,15017.40,0.00
2025.04.03 04:00:00,15017.40,15017.40,0.00
2025.04.03 08:00:00,15017.40,15017.40,0.00
2025.04.03 12:00:00,15017.40,15017.40,0.00
2025.04.03 16:00:00,15017.40,15017.40,0.00
2025.04.03 20:00:00,15017.40,15017.40,0.00
2025.04.04 00:05:00,15017.40,15017.40,0.00
2025.04.04 04:00:00,15017.40,15017.40,0.00
2025.04.04 08:00:00,15017.40,15017.40,0.00
2025.04.04 12:00:00,15017.40,15017.40,0.00
2025.04.04 16:00:00,15017.40,15017.40,0.00
2025.04.04 20:00:00,15017.40,15017.40,0.00
2025.04.07 00:17:52,15017.40,15017.40,0.00
2025.04.07 04:00:00,15017.40,15017.40,0.00
2025.04.07 08:00:00,15017.40,15017.40,0.00
2025.04.07 12:00:00,15017.40,15017.40,0.00
2025.04.07 16:00:00,15017.40,15017.24,-0.16
2025.04.07 20:00:00,15017.40,15004.16,-13.24
2025.04.08 00:05:57,15017.40,15006.79,-10.61
2025.04.08 04:00:00,15017.40,15008.59,-8.81
2025.04.08 08:00:00,15017.40,15015.19,-2.21
2025.04.08 12:00:00,15017.40,15015.60,-1.80
2025.04.08 16:00:00,15017.40,15015.06,-2.34
2025.04.08 20:00:00,15017.40,15007.50,-9.90
2025.04.09 00:05:07,15017.40,15004.99,-12.41
2025.04.09 04:00:00,15017.40,15005.23,-12.17
2025.04.09 08:00:00,15017.40,15006.79,-10.61
2025.04.09 12:00:00,15017.40,15010.15,-7.25
2025.04.09 16:00:00,15017.40,15011.87,-5.53
2025.04.09 20:00:00,15017.40,15011.67,-5.73
2025.04.10 00:05:36,15017.40,15023.96,6.56
2025.04.10 04:00:00,15023.96,15023.96,0.00
2025.04.10 08:00:00,15023.96,15023.96,0.00
2025.04.10 12:00:00,15023.96,15023.96,0.00
2025.04.10 16:00:00,15023.96,15023.96,0.00
2025.04.10 20:00:00,15023.96,15023.96,0.00
2025.04.11 00:07:36,15023.96,15023.96,0.00
2025.04.11 04:00:00,15023.96,15023.96,0.00
2025.04.11 08:00:00,15023.96,15023.96,0.00
2025.04.11 12:00:00,15023.96,15023.96,0.00
2025.04.11 16:00:00,15023.96,15023.96,0.00
2025.04.11 20:00:00,15023.96,15023.96,0.00
2025.04.14 00:06:57,15023.96,15023.96,0.00
2025.04.14 04:00:00,15023.96,15023.96,0.00
2025.04.14 08:00:00,15023.96,15023.96,0.00
2025.04.14 12:00:00,15023.96,15023.96,0.00
2025.04.14 16:00:00,15023.96,15023.79,-0.17
2025.04.14 20:00:00,15023.96,15022.57,-1.39
2025.04.15 00:08:08,15023.96,15020.50,-3.46
2025.04.15 04:00:00,15023.96,15020.63,-3.33
2025.04.15 08:00:00,15023.96,15016.43,-7.53
2025.04.15 12:00:00,15023.96,15018.37,-5.59
2025.04.15 16:00:00,15023.96,15016.26,-7.70
2025.04.15 20:00:00,15023.96,15018.12,-5.84
2025.04.16 00:07:48,15023.96,15018.15,-5.81
2025.04.16 04:00:00,15023.96,15019.90,-4.06
2025.04.16 08:00:00,15023.96,15018.09,-5.87
2025.04.16 12:00:00,15023.96,15016.60,-7.36
2025.04.16 16:00:00,15023.96,15017.16,-6.80
2025.04.16 20:00:00,15023.96,15014.99,-8.97
2025.04.17 00:08:15,15023.96,15015.96,-8.00
2025.04.17 04:00:00,15023.96,15017.14,-6.82
2025.04.17 08:00:00,15023.96,15019.37,-4.59
2025.04.17 12:00:00,15023.96,15017.81,-6.15
2025.04.17 16:00:00,15023.96,15014.96,-9.00
2025.04.17 20:00:00,15023.96,15014.94,-9.02
2025.04.18 00:07:18,15023.96,15013.56,-10.40
2025.04.18 04:00:00,15023.96,15014.86,-9.10
2025.04.18 08:00:00,15023.96,15014.78,-9.18
2025.04.18 12:00:00,15023.96,15014.85,-9.11
2025.04.18 16:00:00,15023.96,15014.84,-9.12
2025.04.18 20:00:00,15023.96,15014.87,-9.09
2025.04.21 00:06:53,15023.96,15013.97,-9.99
2025.04.21 04:00:00,15023.96,15014.87,-9.09
2025.04.21 08:00:00,15023.96,15014.87,-9.09
2025.04.21 12:00:00,15027.36,15013.64,-13.72
2025.04.21 16:00:00,15027.36,15013.60,-13.76
2025.04.21 20:00:00,15027.36,15015.34,-12.02
2025.04.22 00:07:56,15027.36,15014.88,-12.48
2025.04.22 04:00:00,15027.36,15015.72,-11.64
2025.04.22 08:00:00,15027.36,15013.42,-13.94
2025.04.22 12:00:00,15027.36,15015.40,-11.96
2025.04.22 16:00:00,15027.36,15020.71,-6.65
2025.04.22 20:00:00,15027.36,15018.91,-8.45
2025.04.23 00:08:10,15027.36,15025.51,-1.85
2025.04.23 04:00:00,15027.36,15019.21,-8.15
2025.04.23 08:00:00,15027.36,15019.36,-8.00
2025.04.23 12:00:00,15027.36,15014.23,-13.13
2025.04.23 16:00:00,15027.36,15012.73,-14.63
2025.04.23 20:00:00,15027.36,15027.04,-0.32
2025.04.24 00:08:19,15027.36,15026.80,-0.56
2025.04.24 04:00:00,15026.80,15026.80,0.00
2025.04.24 08:00:00,15026.80,15026.80,0.00
2025.04.24 12:00:00,15026.80,15026.80,0.00
2025.04.24 16:00:00,15026.80,15026.80,0.00
2025.04.24 20:00:00,15026.80,15026.80,0.00
2025.04.25 00:07:52,15026.80,15026.80,0.00
2025.04.25 04:00:00,15026.80,15026.80,0.00
2025.04.25 08:00:00,15026.80,15026.80,0.00
2025.04.25 12:00:00,15026.80,15026.80,0.00
2025.04.25 16:00:00,15026.80,15026.80,0.00
2025.04.25 20:00:00,15026.80,15026.80,0.00
2025.04.28 00:06:31,15026.80,15026.80,0.00
2025.04.28 04:00:00,15026.80,15026.80,0.00
2025.04.28 08:00:00,15026.80,15026.80,0.00
2025.04.28 12:00:00,15026.80,15026.80,0.00
2025.04.28 16:00:00,15026.80,15026.80,0.00
2025.04.28 20:00:00,15026.80,15026.80,0.00
2025.04.29 00:07:02,15026.80,15026.80,0.00
2025.04.29 04:00:00,15026.80,15026.80,0.00
2025.04.29 08:00:00,15026.80,15026.80,0.00
2025.04.29 12:00:00,15026.80,15026.80,0.00
2025.04.29 16:00:00,15026.80,15026.80,0.00
2025.04.29 20:00:00,15026.80,15026.80,0.00
2025.04.30 00:07:20,15026.80,15026.80,0.00
2025.04.30 04:00:00,15026.80,15026.80,0.00
2025.04.30 08:00:00,15026.80,15026.80,0.00
2025.04.30 12:00:00,15026.80,15026.80,0.00
2025.04.30 16:00:00,15026.80,15026.80,0.00
2025.04.30 20:00:00,15026.80,15026.80,0.00
2025.05.01 00:07:44,15026.80,15026.80,0.00
2025.05.01 04:00:00,15026.80,15026.80,0.00
2025.05.01 08:00:00,15026.80,15026.80,0.00
2025.05.01 12:00:00,15026.80,15026.80,0.00
2025.05.01 16:00:00,15026.80,15026.80,0.00
2025.05.01 20:00:00,15026.80,15026.80,0.00
2025.05.02 00:07:15,15026.80,15026.80,0.00
2025.05.02 04:00:00,15026.80,15026.80,0.00
2025.05.02 08:00:00,15026.80,15026.80,0.00
2025.05.02 12:00:00,15026.80,15026.80,0.00
2025.05.02 16:00:00,15026.80,15026.80,0.00
2025.05.02 20:00:00,15026.80,15026.80,0.00
2025.05.05 00:06:38,15026.80,15026.80,0.00
2025.05.05 04:00:00,15026.80,15026.80,0.00
2025.05.05 08:00:00,15026.80,15026.80,0.00
2025.05.05 12:00:00,15026.80,15026.80,0.00
2025.05.05 16:00:04,15026.80,15026.80,0.00
2025.05.05 20:00:00,15026.80,15026.62,-0.18
2025.05.06 00:06:47,15026.80,15025.93,-0.87
2025.05.06 04:00:00,15026.80,15028.16,1.36
2025.05.06 08:00:00,15026.80,15026.10,-0.70
2025.05.06 12:00:00,15026.80,15027.81,1.01
2025.05.06 16:00:00,15026.80,15026.13,-0.67
2025.05.06 20:00:00,15026.80,15024.31,-2.49
2025.05.07 00:07:31,15026.80,15023.52,-3.28
2025.05.07 04:00:00,15026.80,15022.82,-3.98
2025.05.07 08:00:00,15026.80,15022.81,-3.99
2025.05.07 12:00:00,15026.80,15022.82,-3.98
2025.05.07 16:00:00,15026.80,15022.83,-3.97
2025.05.07 20:00:00,15026.80,15022.48,-4.32
2025.05.08 00:07:29,15026.80,15029.09,2.29
2025.05.08 04:00:00,15037.02,15030.99,-6.03
2025.05.08 08:00:00,15037.02,15031.99,-5.03
2025.05.08 12:00:00,15037.02,15028.20,-8.82
2025.05.08 16:00:00,15037.02,15028.60,-8.42
2025.05.08 20:00:00,15037.02,15027.91,-9.11
2025.05.09 00:07:43,15037.02,15026.50,-10.52
2025.05.09 04:00:00,15037.02,15025.84,-11.18
2025.05.09 08:00:00,15037.02,15027.76,-9.26
2025.05.09 12:00:00,15037.02,15027.60,-9.42
2025.05.09 16:00:00,15037.02,15027.68,-9.34
2025.05.09 20:00:00,15037.02,15028.23,-8.79
2025.05.12 00:06:46,15037.02,15028.13,-8.89
2025.05.12 04:00:00,15037.02,15028.46,-8.56
2025.05.12 08:00:00,15037.02,15032.02,-5.00
2025.05.12 12:00:00,15037.02,15023.82,-13.20
2025.05.12 16:00:00,15037.02,15014.74,-22.28
2025.05.12 20:00:00,15037.02,15005.50,-31.52
2025.05.13 00:07:42,15037.02,15005.10,-31.92
2025.05.13 04:00:00,15037.02,15005.66,-31.36
2025.05.13 08:00:00,15037.02,15023.49,-13.53
2025.05.13 12:00:00,15037.02,15017.91,-19.11
2025.05.13 16:00:00,15037.02,15039.96,2.94
2025.05.13 20:00:00,15040.80,15065.91,25.11
2025.05.14 00:07:27,15065.85,15065.85,0.00
2025.05.14 04:00:00,15065.85,15065.85,0.00
2025.05.14 08:00:00,15065.85,15065.85,0.00
2025.05.14 12:00:00,15065.85,15065.85,0.00
2025.05.14 16:00:00,15065.85,15065.85,0.00
2025.05.14 20:00:00,15065.85,15065.85,0.00
2025.05.15 00:07:22,15065.85,15065.85,0.00
2025.05.15 04:00:00,15065.85,15065.85,0.00
2025.05.15 08:00:00,15065.85,15065.85,0.00
2025.05.15 12:00:00,15065.85,15065.85,0.00
2025.05.15 16:00:00,15065.85,15065.85,0.00
2025.05.15 20:00:00,15065.85,15065.85,0.00
2025.05.16 00:07:17,15065.85,15065.85,0.00
2025.05.16 04:00:00,15065.85,15065.85,0.00
2025.05.16 08:00:00,15065.85,15065.85,0.00
2025.05.16 12:00:00,15065.85,15065.85,0.00
2025.05.16 16:00:00,15065.85,15065.85,0.00
2025.05.16 20:00:00,15065.85,15065.85,0.00
2025.05.19 00:06:34,15065.85,15065.85,0.00
2025.05.19 04:00:00,15065.85,15065.85,0.00
2025.05.19 08:00:00,15065.85,15065.85,0.00
2025.05.19 12:00:00,15065.85,15065.85,0.00
2025.05.19 16:00:00,15065.85,15065.85,0.00
2025.05.19 20:00:00,15065.85,15065.85,0.00
2025.05.20 00:07:23,15065.85,15065.85,0.00
2025.05.20 04:00:00,15065.85,15065.85,0.00
2025.05.20 08:00:00,15065.85,15065.85,0.00
2025.05.20 12:00:00,15065.85,15065.85,0.00
2025.05.20 16:00:00,15065.85,15065.85,0.00
2025.05.20 20:00:00,15065.85,15065.85,0.00
2025.05.21 00:06:57,15065.85,15065.85,0.00
2025.05.21 04:00:00,15065.85,15065.85,0.00
2025.05.21 08:00:00,15065.85,15065.85,0.00
2025.05.21 12:00:00,15065.85,15065.85,0.00
2025.05.21 16:00:00,15065.85,15065.85,0.00
2025.05.21 20:00:00,15065.85,15065.85,0.00
2025.05.22 00:07:25,15065.85,15065.85,0.00
2025.05.22 04:00:00,15065.85,15065.85,0.00
2025.05.22 08:00:00,15065.85,15065.85,0.00
2025.05.22 12:00:00,15065.85,15065.85,0.00
2025.05.22 16:00:00,15065.85,15065.85,0.00
2025.05.22 20:00:00,15065.85,15065.85,0.00
2025.05.23 00:07:15,15065.85,15065.85,0.00
2025.05.23 04:00:00,15065.85,15065.85,0.00
2025.05.23 08:00:00,15065.85,15065.85,0.00
2025.05.23 12:00:00,15065.85,15065.85,0.00
2025.05.23 16:00:00,15065.85,15065.85,0.00
2025.05.23 20:00:00,15065.85,15065.85,0.00
2025.05.26 00:06:41,15065.85,15065.85,0.00
2025.05.26 04:00:00,15065.85,15065.85,0.00
2025.05.26 08:00:00,15065.85,15065.85,0.00
2025.05.26 12:00:00,15065.85,15065.85,0.00
2025.05.26 16:00:00,15065.85,15065.85,0.00
2025.05.26 20:00:00,15065.85,15065.67,-0.18
2025.05.27 00:06:43,15065.85,15065.36,-0.49
2025.05.27 04:00:00,15065.85,15065.36,-0.49
2025.05.27 08:00:00,15065.85,15067.45,1.60
2025.05.27 12:00:00,15065.85,15069.71,3.86
2025.05.27 16:00:00,15069.71,15069.71,0.00
