time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,14999.86,-0.14
2025.03.03 08:00:00,15000.00,14999.36,-0.64
2025.03.03 12:00:00,15000.00,15000.65,0.65
2025.03.03 16:00:00,15000.00,15005.10,5.10
2025.03.03 20:00:00,15005.11,15005.11,0.00
2025.03.04 00:05:01,15005.11,15005.11,0.00
2025.03.04 04:00:00,15005.11,15005.11,0.00
2025.03.04 08:00:00,15005.11,15005.11,0.00
2025.03.04 12:00:00,15005.11,15005.11,0.00
2025.03.04 16:00:00,15005.11,15005.11,0.00
2025.03.04 20:00:00,15005.11,15005.11,0.00
2025.03.05 00:05:01,15005.11,15005.11,0.00
2025.03.05 04:00:00,15005.11,15005.11,0.00
2025.03.05 08:00:00,15005.11,15005.11,0.00
2025.03.05 12:00:00,15005.11,15005.11,0.00
2025.03.05 16:00:00,15005.11,15005.11,0.00
2025.03.05 20:00:00,15005.11,15005.11,0.00
2025.03.06 00:05:01,15005.11,15005.11,0.00
2025.03.06 04:00:01,15005.11,15005.11,0.00
2025.03.06 08:00:00,15005.11,15005.11,0.00
2025.03.06 12:00:00,15005.11,15005.11,0.00
2025.03.06 16:00:00,15005.11,15005.11,0.00
2025.03.06 20:00:00,15005.11,15004.98,-0.13
2025.03.07 00:05:01,15005.11,15006.03,0.92
2025.03.07 04:00:00,15005.11,15005.67,0.56
2025.03.07 08:00:00,15005.11,15003.35,-1.76
2025.03.07 12:00:00,15005.11,14998.53,-6.58
2025.03.07 16:00:00,15005.11,15000.21,-4.90
2025.03.07 20:00:00,15005.11,15000.36,-4.75
2025.03.10 00:00:00,15005.11,15000.57,-4.54
2025.03.10 04:00:00,15005.11,14999.40,-5.71
2025.03.10 08:00:00,15005.11,15001.20,-3.91
2025.03.10 12:00:00,15005.11,14999.57,-5.54
2025.03.10 16:00:00,15005.11,15001.20,-3.91
2025.03.10 20:00:00,15005.11,15001.74,-3.37
2025.03.11 00:00:00,15005.11,15001.16,-3.95
2025.03.11 04:00:00,15005.11,14998.93,-6.18
2025.03.11 08:00:00,15005.11,15000.89,-4.22
2025.03.11 12:00:00,15005.11,14993.87,-11.24
2025.03.11 16:00:00,15005.11,14992.63,-12.48
2025.03.11 20:00:00,15005.11,14991.31,-13.80
2025.03.12 00:00:00,15005.11,14993.40,-11.71
2025.03.12 04:00:00,15005.11,14994.09,-11.02
2025.03.12 08:00:00,15005.11,14994.39,-10.72
2025.03.12 12:00:00,15005.11,14993.30,-11.81
2025.03.12 16:00:00,15005.11,14996.28,-8.83
2025.03.12 20:00:00,15005.11,14988.87,-16.24
2025.03.13 00:00:00,15005.11,14994.56,-10.55
2025.03.13 04:00:00,15005.11,14994.32,-10.79
2025.03.13 08:00:00,15005.11,14995.52,-9.59
2025.03.13 12:00:00,15005.11,14997.23,-7.88
2025.03.13 16:00:00,15005.11,15006.83,1.72
2025.03.13 20:00:02,15005.11,15004.67,-0.44
