time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,14999.85,-0.15
2025.03.03 16:00:00,15000.00,15004.96,4.96
2025.03.03 20:00:00,15004.95,15004.95,0.00
2025.03.04 00:05:13,15004.95,15004.95,0.00
2025.03.04 04:00:00,15004.95,15004.95,0.00
2025.03.04 08:00:00,15004.95,15004.95,0.00
2025.03.04 12:00:00,15004.95,15004.95,0.00
2025.03.04 16:00:00,15004.95,15004.95,0.00
2025.03.04 20:00:00,15004.95,15004.95,0.00
2025.03.05 00:05:05,15004.95,15004.95,0.00
2025.03.05 04:00:00,15004.95,15004.95,0.00
2025.03.05 08:00:00,15004.95,15004.95,0.00
2025.03.05 12:00:00,15004.95,15004.95,0.00
2025.03.05 16:00:00,15004.95,15004.95,0.00
2025.03.05 20:00:00,15004.95,15004.95,0.00
2025.03.06 00:05:55,15004.95,15004.95,0.00
2025.03.06 04:00:00,15004.95,15004.95,0.00
2025.03.06 08:00:00,15004.95,15004.95,0.00
2025.03.06 12:00:00,15004.95,15004.95,0.00
2025.03.06 16:00:00,15004.95,15004.95,0.00
2025.03.06 20:00:00,15004.95,15004.95,0.00
2025.03.07 00:05:16,15004.95,15004.58,-0.37
2025.03.07 04:00:00,15004.95,15004.45,-0.50
2025.03.07 08:00:00,15004.95,15004.35,-0.60
2025.03.07 12:00:00,15004.95,14998.96,-5.99
2025.03.07 16:00:00,15004.95,15002.55,-2.40
2025.03.07 20:00:00,15004.95,15002.07,-2.88
2025.03.10 00:00:00,15004.95,15000.38,-4.57
2025.03.10 04:00:00,15004.95,14999.91,-5.04
2025.03.10 08:00:00,15004.95,15001.52,-3.43
2025.03.10 12:00:00,15004.95,15001.89,-3.06
2025.03.10 16:00:00,15004.95,15000.24,-4.71
2025.03.10 20:00:00,15004.95,15005.05,0.10
2025.03.11 00:00:00,15004.95,15004.84,-0.11
2025.03.11 04:00:00,15004.95,15003.80,-1.15
2025.03.11 08:00:00,15004.95,15005.11,0.16
2025.03.11 12:00:00,15004.95,14999.31,-5.64
2025.03.11 16:00:00,15004.95,14999.35,-5.60
2025.03.11 20:00:00,15004.95,14997.83,-7.12
2025.03.12 00:00:00,15004.95,14997.82,-7.13
2025.03.12 04:00:00,15004.95,14999.01,-5.94
2025.03.12 08:00:00,15004.95,14999.58,-5.37
2025.03.12 12:00:00,15004.95,14999.30,-5.65
2025.03.12 16:00:00,15004.95,14999.22,-5.73
2025.03.12 20:00:00,15004.95,14996.02,-8.93
2025.03.13 00:00:00,15004.95,14996.08,-8.87
2025.03.13 04:00:00,15004.95,14995.98,-8.97
2025.03.13 08:00:00,15004.95,14996.78,-8.17
2025.03.13 12:00:00,15004.95,14996.69,-8.26
2025.03.13 16:00:00,15004.95,14998.73,-6.22
2025.03.13 20:00:00,15004.95,14997.77,-7.18
