time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:34,15000.00,15000.00,0.00
2025.03.03 04:00:01,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,15000.00,0.00
2025.03.03 16:00:00,15000.00,15000.00,0.00
2025.03.03 20:00:00,15000.00,15000.00,0.00
2025.03.04 00:05:29,15000.00,15000.00,0.00
2025.03.04 04:00:00,15000.00,15000.00,0.00
2025.03.04 08:00:00,15000.00,15000.00,0.00
2025.03.04 12:00:00,15000.00,15000.00,0.00
2025.03.04 16:00:00,15000.00,15000.00,0.00
2025.03.04 20:00:00,15000.00,15000.00,0.00
2025.03.05 00:05:01,15000.00,15000.00,0.00
2025.03.05 04:00:00,15000.00,15000.00,0.00
2025.03.05 08:00:00,15000.00,15000.00,0.00
2025.03.05 12:00:00,15000.00,15000.00,0.00
2025.03.05 16:00:00,15000.00,14999.85,-0.15
2025.03.05 20:00:00,15000.00,15002.80,2.80
2025.03.06 00:05:01,15000.00,15002.55,2.55
2025.03.06 04:00:00,15000.00,15002.45,2.45
2025.03.06 08:00:00,15000.00,15003.02,3.02
2025.03.06 12:00:00,15000.00,14997.63,-2.37
2025.03.06 16:00:00,15000.00,14996.26,-3.74
2025.03.06 20:00:00,15000.00,14995.87,-4.13
2025.03.07 00:05:01,15000.00,14994.86,-5.14
2025.03.07 04:00:00,15000.00,14993.98,-6.02
2025.03.07 08:00:00,15000.00,14992.42,-7.58
2025.03.07 12:00:00,15000.00,14989.18,-10.82
2025.03.07 16:00:00,15000.00,14989.94,-10.06
2025.03.07 20:00:00,15000.00,14989.72,-10.28
2025.03.10 00:00:00,15000.00,14990.50,-9.50
2025.03.10 04:00:00,15000.00,14988.77,-11.23
2025.03.10 08:00:00,15000.00,14988.95,-11.05
2025.03.10 12:00:00,15000.00,14987.59,-12.41
2025.03.10 16:00:00,15000.00,14989.08,-10.92
2025.03.10 20:00:01,15000.00,14998.37,-1.63
2025.03.11 00:00:00,15000.00,14995.41,-4.59
2025.03.11 04:00:00,15000.00,14985.23,-14.77
2025.03.11 08:00:00,15000.00,14993.77,-6.23
2025.03.11 12:00:00,15000.00,14997.86,-2.14
2025.03.11 16:00:00,15000.00,14993.25,-6.75
2025.03.11 20:00:00,15000.00,14994.17,-5.83
2025.03.12 00:00:00,15000.00,15003.17,3.17
2025.03.12 04:00:00,15000.00,15005.54,5.54
2025.03.12 08:00:00,15000.00,15005.89,5.89
2025.03.12 12:00:00,15000.00,15006.36,6.36
2025.03.12 16:00:00,15000.00,15005.81,5.81
2025.03.12 20:00:00,15000.00,15000.86,0.86
2025.03.13 00:00:00,15000.89,15000.89,0.00
2025.03.13 04:00:00,15000.89,15000.89,0.00
2025.03.13 08:00:00,15000.89,15000.89,0.00
2025.03.13 12:00:00,15000.89,15000.89,0.00
2025.03.13 16:00:00,15000.89,15000.89,0.00
2025.03.13 20:00:00,15000.89,15000.89,0.00
2025.03.14 00:00:00,15000.89,15000.89,0.00
2025.03.14 04:00:00,15000.89,15000.89,0.00
2025.03.14 08:00:01,15000.89,15000.89,0.00
2025.03.14 12:00:09,15000.89,15000.89,0.00
2025.03.14 16:00:00,15000.89,15000.89,0.00
2025.03.14 20:00:00,15000.89,15000.77,-0.12
2025.03.17 00:00:00,15000.89,15000.14,-0.75
2025.03.17 04:00:00,15000.89,15000.07,-0.82
2025.03.17 08:00:00,15000.89,15000.11,-0.78
2025.03.17 12:00:00,15000.89,14998.22,-2.67
2025.03.17 16:00:00,15000.89,14997.38,-3.51
2025.03.17 20:00:00,15000.89,14995.99,-4.90
2025.03.18 00:00:00,15000.89,14995.64,-5.25
2025.03.18 04:00:00,15000.89,14996.93,-3.96
2025.03.18 08:00:00,15000.89,14996.71,-4.18
2025.03.18 12:00:00,15000.89,14994.70,-6.19
2025.03.18 16:00:00,15000.89,14994.37,-6.52
2025.03.18 20:00:23,15000.89,14990.90,-9.99
2025.03.19 00:00:00,15000.89,14991.61,-9.28
2025.03.19 04:00:00,15000.89,14992.17,-8.72
2025.03.19 08:00:00,15000.89,14991.96,-8.93
2025.03.19 12:00:00,15000.89,14993.06,-7.83
2025.03.19 16:00:00,15000.89,15000.62,-0.27
2025.03.19 20:00:00,15000.89,15001.08,0.19
2025.03.20 00:00:00,15000.89,14989.77,-11.12
2025.03.20 04:00:00,15000.89,14985.06,-15.83
2025.03.20 08:00:00,15000.89,14985.02,-15.87
2025.03.20 12:00:00,15000.89,15010.52,9.63
2025.03.20 16:00:00,15010.52,15010.52,0.00
2025.03.20 20:00:00,15010.52,15010.52,0.00
2025.03.21 00:00:00,15010.52,15010.52,0.00
