Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
5,15257.23,257.23,2.923068,4.528048,2.586266,2.110473,101.15999999999985,0.6551,88,35,2.00
27,15256.12,256.12,3.013176,4.642725,2.597303,2.149088,99.690000000000509,0.6496,85,35,2.10
16,15255.48,255.48,2.970698,4.559209,2.568671,2.127693,101.15999999999985,0.6551,86,35,2.05
6,15249.31,249.31,3.003735,4.511408,2.528243,2.152784,99.68999999999869,0.6500,83,36,2.00
38,15247.00,247.00,3.012195,4.638238,2.504817,2.102053,99.690000000000509,0.6498,82,35,2.15
4,15240.56,240.56,2.797209,4.313042,2.411146,1.973722,101.46999999999935,0.6578,86,34,2.00
3,15239.64,239.64,2.754483,4.300372,2.401924,1.974460,101.46999999999935,0.6578,87,33,2.00
29,15239.16,239.16,2.952593,4.644065,2.388495,2.102130,99.68999999999869,0.6596,81,37,2.10
94,15237.32,237.32,3.296111,5.746400,3.165533,2.872483,79.159999999999854,0.4954,72,36,2.40
14,15237.06,237.06,2.822143,4.316452,2.376065,1.996472,101.46999999999935,0.6579,84,33,2.05
7,15236.91,236.91,2.889146,4.429502,2.366024,2.078303,99.68999999999869,0.6597,82,37,2.00
15,15236.29,236.29,2.881585,4.334133,2.375729,1.981932,101.15999999999985,0.6560,82,34,2.05
17,15235.49,235.49,2.871829,4.408946,2.388095,2.077170,99.68999999999869,0.6499,82,36,2.05
26,15235.46,235.46,2.906914,4.322421,2.367384,1.988849,101.15999999999985,0.6560,81,34,2.10
40,15234.82,234.82,2.972405,4.577937,2.345151,2.088384,99.68999999999869,0.6596,79,37,2.15
25,15234.34,234.34,2.823373,4.292679,2.356123,1.972393,101.15999999999985,0.6560,83,33,2.10
30,15233.91,233.91,2.923875,4.404803,2.336063,2.072002,99.690000000000509,0.6594,80,38,2.10
19,15233.91,233.91,2.923875,4.404803,2.336063,2.072002,99.690000000000509,0.6594,80,38,2.05
39,15233.75,233.75,2.996795,4.561633,2.370449,2.112848,99.690000000000509,0.6498,78,36,2.15
18,15233.29,233.29,2.880123,4.377099,2.329871,2.045539,99.690000000000509,0.6599,81,37,2.05
28,15233.05,233.05,2.877160,4.373625,2.363351,2.063149,99.690000000000509,0.6500,81,36,2.10
9,15232.34,232.34,2.868395,4.363834,2.320384,2.092264,99.68999999999869,0.6594,81,39,2.00
41,15231.79,231.79,2.897375,4.373945,2.314891,2.055184,99.690000000000509,0.6594,80,38,2.15
8,15231.66,231.66,2.860000,4.210811,2.313592,2.048097,99.690000000000509,0.6595,81,38,2.00
62,15230.96,230.96,2.999481,4.519122,2.306601,2.068734,99.690000000000509,0.6598,77,37,2.25
51,15230.96,230.96,2.999481,4.519122,2.306601,2.068734,99.690000000000509,0.6598,77,37,2.20
60,15230.74,230.74,2.884250,4.497650,2.339925,2.012520,99.68999999999869,0.6498,80,35,2.25
61,15230.72,230.72,2.996364,4.515465,2.339722,2.084724,99.690000000000509,0.6499,77,36,2.25
50,15230.72,230.72,2.996364,4.515465,2.339722,2.084724,99.690000000000509,0.6499,77,36,2.20
20,15230.59,230.59,2.918861,4.394024,2.302906,2.111145,99.68999999999869,0.6595,79,39,2.05
1,15230.20,230.20,2.586517,3.978778,2.253108,1.914728,103.8700000000008,0.6739,89,31,2.00
37,15230.01,230.01,2.948846,4.314265,2.332522,1.962588,99.690000000000509,0.6505,78,34,2.15
95,15229.27,229.27,3.322754,5.585400,3.058157,2.802401,79.159999999999854,0.4955,69,37,2.40
47,15229.09,229.09,2.899873,4.301009,2.323192,1.967474,99.690000000000509,0.6505,79,33,2.20
36,15229.09,229.09,2.899873,4.301009,2.323192,1.967474,99.690000000000509,0.6505,79,33,2.15
49,15228.17,228.17,2.852125,4.343150,2.313863,1.985906,99.690000000000509,0.6499,80,35,2.20
71,15228.13,228.13,2.924744,4.501074,2.313457,2.029988,99.690000000000509,0.6499,78,35,2.30
72,15228.11,228.11,3.041467,4.519130,2.313254,2.104592,99.690000000000509,0.6500,75,36,2.30
59,15227.81,227.81,2.920641,4.401165,2.310212,1.953056,99.690000000000509,0.6506,78,34,2.25
48,15227.81,227.81,2.920641,4.401165,2.310212,1.953056,99.690000000000509,0.6506,78,34,2.20
83,15227.27,227.27,3.071216,4.506171,2.304736,2.098555,99.690000000000509,0.6501,74,36,2.35
31,15226.97,226.97,2.909872,4.340742,2.266753,2.076944,99.690000000000509,0.6596,78,39,2.10
58,15226.89,226.89,2.872025,4.387429,2.300882,1.957904,99.690000000000509,0.6506,79,33,2.25
13,15226.79,226.79,2.668118,4.023061,2.273128,1.902638,101.47000000000116,0.6584,85,32,2.05
52,15226.62,226.62,2.943117,4.298690,2.263258,2.048386,99.690000000000509,0.6595,77,38,2.20
2,15226.15,226.15,2.569886,3.915055,2.213468,1.878544,103.8700000000008,0.6741,88,32,2.00
106,15225.71,225.71,3.368806,5.514200,3.010671,2.765879,79.159999999999854,0.4955,67,37,2.45
