Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
7,15178.15,178.15,2.699242,5.605739,2.789259,2.700852,57.550000000001091,0.4210,66,37,2.00
6,15173.07,173.07,2.662615,5.474405,2.709723,2.639549,57.550000000001091,0.4211,65,36,2.00
11,15170.85,170.85,2.308784,5.022840,2.674965,2.395547,57.550000000001091,0.4213,74,30,2.05
19,15170.79,170.79,2.710952,5.533847,2.674025,2.656700,57.550000000001091,0.4212,63,38,2.05
8,15170.79,170.79,2.710952,5.533847,2.674025,2.656700,57.550000000001091,0.4212,63,38,2.00
51,15170.42,170.42,2.748710,5.457756,2.668232,2.618837,57.549999999999272,0.4212,62,37,2.20
40,15170.20,170.20,2.701587,5.426528,2.664788,2.615435,57.549999999999272,0.4212,63,37,2.15
29,15170.20,170.20,2.701587,5.426528,2.664788,2.615435,57.549999999999272,0.4212,63,37,2.10
18,15169.97,169.97,2.655781,5.394261,2.661187,2.611905,57.549999999999272,0.4212,64,37,2.05
22,15169.04,169.04,2.347778,5.000947,2.655774,2.372444,57.549999999999272,0.4199,72,30,2.10
73,15168.61,168.61,2.810167,5.435938,2.649018,2.593668,57.549999999999272,0.4198,60,37,2.30
62,15168.39,168.39,2.760492,5.404656,2.636449,2.590300,57.550000000001091,0.4213,61,37,2.25
84,15167.61,167.61,2.889828,5.435300,2.633307,2.593584,57.549999999999272,0.4199,58,37,2.35
95,15165.49,165.49,2.903333,5.379201,2.600000,2.564729,57.549999999999272,0.4199,57,37,2.40
39,15164.89,164.89,2.617302,5.262927,2.581650,2.549308,57.550000000001091,0.4214,63,36,2.15
28,15164.89,164.89,2.617302,5.262927,2.581650,2.549308,57.550000000001091,0.4214,63,36,2.10
17,15164.89,164.89,2.617302,5.262927,2.581650,2.549308,57.550000000001091,0.4214,63,36,2.05
117,15164.22,164.22,2.985818,5.365231,2.580047,2.552449,57.550000000001091,0.4199,55,37,2.50
106,15164.05,164.05,2.929464,5.341096,2.577376,2.549805,57.550000000001091,0.4200,56,37,2.45
61,15163.31,163.31,2.721833,5.271776,2.556912,2.527511,57.550000000001091,0.4214,60,36,2.25
63,15163.27,163.27,2.815000,5.411510,2.565122,2.575337,57.549999999999272,0.4200,58,38,2.25
50,15163.08,163.08,2.673443,5.240250,2.553311,2.523958,57.550000000001091,0.4214,61,36,2.20
25,15162.80,162.80,2.429851,5.144603,2.548928,2.462874,57.550000000001091,0.4215,67,33,2.10
14,15162.80,162.80,2.429851,5.144603,2.548928,2.462874,57.550000000001091,0.4215,67,33,2.05
3,15162.80,162.80,2.429851,5.144603,2.548928,2.462874,57.550000000001091,0.4215,67,33,2.00
52,15162.61,162.61,2.665738,5.316698,2.545953,2.564911,57.549999999999272,0.4214,61,38,2.20
41,15162.61,162.61,2.665738,5.316698,2.545953,2.564911,57.549999999999272,0.4214,61,38,2.15
30,15162.61,162.61,2.665738,5.316698,2.545953,2.564911,57.549999999999272,0.4214,61,38,2.10
72,15162.31,162.31,2.798448,5.270192,2.550039,2.527046,57.550000000001091,0.4200,58,36,2.30
32,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,40,2.10
21,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,40,2.05
20,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,39,2.05
10,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,40,2.00
9,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,39,2.00
23,15161.25,161.25,2.239583,4.796798,2.524659,2.308834,57.549999999999272,0.4215,72,31,2.10
12,15161.25,161.25,2.239583,4.796798,2.524659,2.308834,57.549999999999272,0.4215,72,31,2.05
74,15161.24,161.24,2.828772,5.356660,2.533229,2.546002,57.549999999999272,0.4200,57,38,2.30
47,15160.99,160.99,2.476769,5.121608,2.529301,2.437995,57.549999999999272,0.4201,65,33,2.20
36,15160.77,160.77,2.435909,5.092923,2.517144,2.434676,57.549999999999272,0.4215,66,33,2.15
5,15160.48,160.48,2.507500,5.463978,2.512604,2.649527,57.550000000001091,0.4215,64,35,2.00
83,15160.41,160.41,2.864464,5.244774,2.520189,2.501358,57.549999999999272,0.4201,56,36,2.35
85,15160.02,160.02,2.857500,5.323696,2.514061,2.542183,57.549999999999272,0.4201,56,38,2.35
116,15159.14,159.14,2.947037,5.230197,2.500236,2.488833,57.550000000001091,0.4201,54,36,2.50
105,15159.14,159.14,2.947037,5.230197,2.500236,2.488833,57.550000000001091,0.4201,54,36,2.45
94,15158.97,158.97,2.890364,5.206668,2.497565,2.486176,57.550000000001091,0.4201,55,36,2.40
96,15157.90,157.90,2.870909,5.266414,2.480754,2.512487,57.550000000001091,0.4201,55,38,2.40
107,15157.27,157.27,2.912407,5.249392,2.470856,2.524907,57.549999999999272,0.4201,54,38,2.45
76,15154.14,154.14,2.704211,5.000519,2.413340,2.523648,57.550000000001091,0.4217,57,40,2.30
65,15154.14,154.14,2.704211,5.000519,2.413340,2.523648,57.550000000001091,0.4217,57,40,2.25
64,15154.14,154.14,2.704211,5.000519,2.413340,2.523648,57.550000000001091,0.4217,57,39,2.25
54,15153.92,153.92,2.653793,4.972129,2.409895,2.520029,57.549999999999272,0.4217,58,40,2.20
53,15153.92,153.92,2.653793,4.972129,2.409895,2.520029,57.549999999999272,0.4217,58,39,2.20
43,15153.70,153.70,2.605085,4.944060,2.406451,2.516417,57.549999999999272,0.4217,59,40,2.15
42,15153.70,153.70,2.605085,4.944060,2.406451,2.516417,57.549999999999272,0.4217,59,39,2.15
31,15153.70,153.70,2.605085,4.944060,2.406451,2.516417,57.549999999999272,0.4217,59,39,2.10
66,15153.60,153.60,2.400000,4.963871,2.413197,2.409776,57.550000000001091,0.4204,64,30,2.30
55,15153.35,153.35,2.359231,4.932051,2.409269,2.405858,57.550000000001091,0.4204,65,30,2.25
44,15153.18,153.18,2.320909,4.910646,2.406599,2.403175,57.550000000001091,0.4204,66,30,2.20
33,15153.18,153.18,2.320909,4.910646,2.406599,2.403175,57.550000000001091,0.4204,66,30,2.15
87,15153.14,153.14,2.784364,4.997390,2.405970,2.524868,57.550000000001091,0.4203,55,40,2.35
86,15152.33,152.33,2.769636,4.976246,2.393244,2.496665,57.549999999999272,0.4203,55,39,2.35
75,15152.33,152.33,2.769636,4.976246,2.393244,2.496665,57.549999999999272,0.4203,55,39,2.30
97,15151.02,151.02,2.796667,4.942052,2.372663,2.493931,57.549999999999272,0.4203,54,39,2.40
13,15150.88,150.88,2.186667,4.552625,2.362298,2.259867,57.549999999999272,0.4218,69,32,2.05
38,15149.51,149.51,2.450984,5.158832,2.340849,2.605842,57.549999999999272,0.4218,61,35,2.15
27,15149.51,149.51,2.450984,5.158832,2.340849,2.605842,57.549999999999272,0.4218,61,35,2.10
16,15149.51,149.51,2.450984,5.158832,2.340849,2.605842,57.549999999999272,0.4218,61,35,2.05
35,15148.85,148.85,2.188971,4.504827,2.330515,2.231720,57.550000000001091,0.4218,68,32,2.15
24,15148.85,148.85,2.188971,4.504827,2.330515,2.231720,57.550000000001091,0.4218,68,32,2.10
77,15148.80,148.80,2.400000,4.840000,2.337785,2.372762,57.549999999999272,0.4205,62,30,2.35
0,15148.47,148.47,1.832963,2.585033,1.084435,1.029256,141.63999999999942,0.9046,81,30,2.00
60,15147.48,147.48,2.458000,5.102364,2.309065,2.573322,57.550000000001091,0.4218,60,35,2.25
49,15147.48,147.48,2.458000,5.102364,2.309065,2.573322,57.550000000001091,0.4218,60,35,2.20
118,15146.79,146.79,2.822885,4.966225,2.306206,2.366136,57.550000000001091,0.4204,52,38,2.50
78,15146.26,146.26,2.359032,4.796989,2.297879,2.347731,57.550000000001091,0.4205,62,31,2.35
67,15145.78,145.78,2.277812,4.737949,2.290338,2.340035,57.550000000001091,0.4205,64,31,2.30
56,15145.61,145.61,2.240154,4.717386,2.287667,2.337291,57.550000000001091,0.4205,65,31,2.25
45,15145.61,145.61,2.240154,4.717386,2.287667,2.337291,57.550000000001091,0.4205,65,31,2.20
34,15145.61,145.61,2.240154,4.717386,2.287667,2.337291,57.550000000001091,0.4205,65,31,2.15
26,15145.32,145.32,2.422000,5.042281,2.275247,2.553497,57.550000000001091,0.4219,60,34,2.10
15,15145.32,145.32,2.422000,5.042281,2.275247,2.553497,57.550000000001091,0.4219,60,34,2.05
4,15145.32,145.32,2.422000,5.042281,2.275247,2.553497,57.550000000001091,0.4219,60,34,2.00
71,15144.58,144.58,2.581786,5.071529,2.271485,2.543356,57.550000000001091,0.4205,56,35,2.30
115,15144.01,144.01,2.823725,5.157333,2.262529,2.541337,57.549999999999272,0.4205,51,35,2.50
104,15144.01,144.01,2.823725,5.157333,2.262529,2.541337,57.549999999999272,0.4205,51,35,2.45
1,15143.67,143.67,1.795875,2.533789,1.049376,1.006384,141.63999999999942,0.9046,80,31,2.00
69,15143.65,143.65,2.434746,4.992496,2.256874,2.459867,57.549999999999272,0.4206,59,33,2.30
58,15143.65,143.65,2.434746,4.992496,2.256874,2.459867,57.549999999999272,0.4206,59,33,2.25
93,15143.62,143.62,2.709811,5.099914,2.256402,2.534477,57.550000000001091,0.4205,53,35,2.40
82,15143.39,143.39,2.655370,5.066648,2.252789,2.530439,57.550000000001091,0.4205,54,35,2.35
48,15143.29,143.29,2.428644,4.985814,2.243463,2.520660,57.549999999999272,0.4220,59,34,2.20
37,15143.29,143.29,2.428644,4.985814,2.243463,2.520660,57.549999999999272,0.4220,59,34,2.15
89,15143.18,143.18,2.426780,4.738381,2.249489,2.320913,57.550000000001091,0.4205,59,31,2.40
102,15143.08,143.08,2.649630,5.075192,2.247918,2.457826,57.549999999999272,0.4206,54,33,2.45
91,15142.86,142.86,2.597455,5.043589,2.244462,2.454037,57.550000000001091,0.4206,55,33,2.40
80,15142.86,142.86,2.597455,5.043589,2.244462,2.454037,57.550000000001091,0.4206,55,33,2.35
59,15142.29,142.29,2.496316,4.982368,2.235507,2.519490,57.549999999999272,0.4205,57,34,2.25
109,15140.54,140.54,2.702692,4.668494,2.208013,2.330365,57.550000000001091,0.4206,52,40,2.45
108,15140.54,140.54,2.702692,4.668494,2.208013,2.330365,57.550000000001091,0.4206,52,39,2.45
98,15140.54,140.54,2.702692,4.668494,2.208013,2.330365,57.550000000001091,0.4206,52,40,2.40
70,15140.17,140.17,2.503036,4.923034,2.202200,2.486157,57.550000000001091,0.4206,56,34,2.30
114,15139.60,139.60,2.737255,5.004590,2.193244,2.483974,57.549999999999272,0.4206,51,34,2.50
103,15139.60,139.60,2.737255,5.004590,2.193244,2.483974,57.549999999999272,0.4206,51,34,2.45
92,15139.60,139.60,2.737255,5.004590,2.193244,2.483974,57.549999999999272,0.4206,51,34,2.40
81,15139.20,139.20,2.626415,4.947816,2.186960,2.476900,57.549999999999272,0.4206,53,34,2.35
120,15139.10,139.10,2.727451,4.630906,2.185389,2.313556,57.549999999999272,0.4206,51,40,2.50
119,15139.10,139.10,2.727451,4.630906,2.185389,2.313556,57.549999999999272,0.4206,51,39,2.50
88,15138.32,138.32,2.305333,4.569548,2.173134,2.233157,57.549999999999272,0.4208,60,30,2.40
110,15136.26,136.26,2.390526,4.536465,2.140770,2.207385,57.550000000001091,0.4208,57,30,2.50
99,15136.26,136.26,2.390526,4.536465,2.140770,2.207385,57.550000000001091,0.4208,57,30,2.45
100,15132.70,132.70,2.328070,4.464752,2.084839,2.178020,57.549999999999272,0.4208,57,31,2.45
113,15132.60,132.60,2.550000,4.776702,2.083268,2.295707,57.550000000001091,0.4209,52,33,2.50
111,15132.54,132.54,2.366786,4.460574,2.082325,2.179485,57.549999999999272,0.4208,56,31,2.50
68,15131.90,131.90,2.198333,4.382051,2.072270,2.234633,57.549999999999272,0.4208,60,32,2.30
57,15131.73,131.73,2.159508,4.363033,2.069599,2.231741,57.549999999999272,0.4208,61,32,2.25
46,15131.73,131.73,2.159508,4.363033,2.069599,2.231741,57.549999999999272,0.4208,61,32,2.20
2,15131.27,131.27,1.727237,2.401409,0.958805,0.937578,141.63999999999942,0.9055,76,32,2.00
90,15131.16,131.16,2.342143,4.424543,2.060644,2.228943,57.550000000001091,0.4209,56,32,2.40
79,15130.94,130.94,2.297193,4.399273,2.057188,2.225190,57.549999999999272,0.4209,57,32,2.35
101,15129.30,129.30,2.350909,4.375979,2.031422,2.212942,57.549999999999272,0.4209,55,32,2.45
112,15118.82,118.82,2.241887,4.102350,1.866771,2.049436,57.549999999999272,0.4212,53,32,2.50
