Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
39,15234.95,234.95,2.974051,3.227648,1.169953,1.518171,199.10000000000036,1.3252,79,36,2.15
28,15234.95,234.95,2.974051,3.227648,1.169953,1.518171,199.10000000000036,1.3252,79,36,2.10
17,15234.95,234.95,2.974051,3.227648,1.169953,1.518171,199.10000000000036,1.3252,79,36,2.05
6,15234.95,234.95,2.974051,3.227648,1.169953,1.518171,199.10000000000036,1.3252,79,36,2.00
72,15231.52,231.52,3.215556,3.241673,1.152873,1.562117,199.10000000000036,1.3256,72,36,2.30
61,15231.38,231.38,3.169589,3.237285,1.152176,1.561160,199.09999999999854,1.3256,73,36,2.25
50,15230.65,230.65,2.995455,3.186878,1.148541,1.501981,199.10000000000036,1.3256,77,36,2.20
94,15227.57,227.57,3.298116,3.208131,1.133204,1.547310,199.10000000000036,1.3260,69,36,2.40
83,15227.57,227.57,3.298116,3.208131,1.133204,1.547310,199.10000000000036,1.3260,69,36,2.35
19,15225.88,225.88,2.933506,3.129939,1.124788,1.503199,199.10000000000036,1.3260,77,38,2.05
105,15225.72,225.72,3.319412,3.190180,1.123992,1.539638,199.09999999999854,1.3261,68,36,2.45
7,15225.49,225.49,2.890897,3.125660,1.122846,1.486359,199.10000000000036,1.3260,78,37,2.00
8,15225.40,225.40,2.889744,3.125413,1.122398,1.487839,199.09999999999854,1.3260,78,38,2.00
29,15224.20,224.20,2.911688,3.113499,1.116423,1.487120,199.10000000000036,1.3261,77,37,2.10
18,15224.20,224.20,2.911688,3.113499,1.116423,1.487120,199.10000000000036,1.3261,77,37,2.05
116,15223.84,223.84,3.391515,3.227042,1.114630,1.562445,199.10000000000036,1.3263,66,36,2.50
41,15223.69,223.69,2.943289,3.109288,1.113883,1.512746,199.10000000000036,1.3262,76,38,2.15
30,15223.69,223.69,2.943289,3.109288,1.113883,1.512746,199.10000000000036,1.3262,76,38,2.10
