Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
21,15374.74,374.74,4.804359,3.674995,1.943874,2.006026,181.95999999999913,1.2758,78,40,2.05
10,15374.74,374.74,4.804359,3.674995,1.943874,2.006026,181.95999999999913,1.2758,78,40,2.00
43,15373.12,373.12,4.845714,3.663431,1.935470,1.999986,181.95999999999913,1.2758,77,40,2.15
32,15373.12,373.12,4.845714,3.663431,1.935470,1.999986,181.95999999999913,1.2758,77,40,2.10
27,15370.90,370.90,4.415476,2.558011,1.683995,1.245538,208.39000000000124,1.4379,84,35,2.10
54,15370.68,370.68,4.942400,3.649039,1.922814,1.990906,181.95999999999913,1.2758,75,40,2.20
5,15370.54,370.54,4.308605,2.498342,1.642537,1.218116,208.38999999999942,1.4923,86,35,2.00
3,15367.77,367.77,4.227241,2.621418,1.674727,1.271235,208.38999999999942,1.4522,87,33,2.00
16,15367.26,367.26,4.320706,2.485079,1.627998,1.207044,208.38999999999942,1.4926,85,35,2.05
49,15364.10,364.10,4.495062,2.530475,1.653121,1.226500,208.38999999999942,1.4383,81,35,2.20
38,15364.10,364.10,4.495062,2.530475,1.653121,1.226500,208.38999999999942,1.4383,81,35,2.15
76,15363.87,363.87,5.053750,3.674531,1.887488,1.973054,181.95999999999913,1.2758,72,40,2.30
60,15362.14,362.14,4.584051,2.522236,1.644222,1.217816,208.39000000000124,1.4385,79,35,2.25
65,15361.81,361.81,4.956301,3.585650,1.876803,1.951010,181.95999999999913,1.2758,73,40,2.25
4,15359.83,359.83,4.135977,2.501043,1.606743,1.217650,208.38999999999942,1.4814,87,34,2.00
71,15359.54,359.54,4.609487,2.511307,1.632418,1.208098,208.38999999999942,1.4388,78,35,2.30
93,15359.42,359.42,4.667792,2.510803,1.631873,1.208320,208.38999999999942,1.4388,77,35,2.40
82,15359.42,359.42,4.667792,2.510803,1.631873,1.208320,208.38999999999942,1.4388,77,35,2.35
39,15358.85,358.85,4.430247,2.523456,1.629285,1.232467,208.38999999999942,1.4388,81,36,2.15
61,15357.39,357.39,4.523924,2.518289,1.622656,1.228862,208.39000000000124,1.4390,79,36,2.25
50,15357.39,357.39,4.523924,2.518289,1.622656,1.228862,208.39000000000124,1.4390,79,36,2.20
15,15356.55,356.55,4.145930,2.487360,1.592096,1.206256,208.39000000000124,1.4818,86,34,2.05
87,15354.27,354.27,5.061000,3.603969,1.779357,1.945146,181.95999999999913,1.3176,70,40,2.35
26,15353.95,353.95,4.164118,2.476514,1.580487,1.199901,208.39000000000124,1.4818,85,34,2.10
14,15351.85,351.85,4.239157,2.534720,1.593451,1.214373,208.38999999999942,1.4605,83,33,2.05
48,15351.34,351.34,4.337531,2.523921,1.595187,1.219887,208.38999999999942,1.4396,81,34,2.20
104,15350.99,350.99,4.743108,2.498740,1.593598,1.205709,208.38999999999942,1.4396,74,35,2.45
83,15350.68,350.68,4.554286,2.489783,1.592191,1.200895,208.38999999999942,1.4396,77,36,2.35
72,15350.68,350.68,4.554286,2.489783,1.592191,1.200895,208.38999999999942,1.4396,77,36,2.30
94,15350.56,350.56,4.612632,2.489273,1.591646,1.201125,208.39000000000124,1.4396,76,36,2.40
37,15349.75,349.75,4.213855,2.459968,1.561733,1.186927,208.38999999999942,1.4822,83,34,2.15
92,15348.77,348.77,4.589079,2.564272,1.583519,1.234470,208.38999999999942,1.4398,76,34,2.40
25,15348.71,348.71,4.252561,2.521024,1.579231,1.213803,208.39000000000124,1.4605,82,33,2.10
1,15348.49,348.49,4.148690,3.196319,1.593534,1.821842,187.63000000000102,1.4457,84,31,2.00
105,15348.45,348.45,4.708784,2.504014,1.582066,1.210188,208.38999999999942,1.4398,74,36,2.45
81,15348.38,348.38,4.466410,2.520182,1.581748,1.214719,208.39000000000124,1.4398,78,34,2.35
70,15347.12,347.12,4.393924,2.505617,1.576027,1.205606,208.39000000000124,1.4400,79,34,2.30
59,15347.12,347.12,4.393924,2.505617,1.576027,1.205606,208.39000000000124,1.4400,79,34,2.25
120,15344.92,344.92,5.072353,3.535244,1.732396,1.934207,181.95999999999913,1.3176,68,40,2.50
109,15344.92,344.92,5.072353,3.535244,1.732396,1.934207,181.95999999999913,1.3176,68,40,2.45
98,15344.92,344.92,5.072353,3.535244,1.732396,1.934207,181.95999999999913,1.3176,68,40,2.40
12,15344.84,344.84,4.154699,3.173316,1.576844,1.802398,187.63000000000102,1.4457,83,31,2.05
23,15343.37,343.37,4.187439,3.164051,1.570122,1.795514,187.63000000000102,1.4457,82,31,2.10
36,15342.53,342.53,4.281625,2.494068,1.551243,1.194355,208.38999999999942,1.4609,80,33,2.15
