Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpQQEOverbought,InpQQEOversold
30,16623.17,1623.17,3.846374,4.200256,5.633855,1.979451,278.07999999999993,1.8016,422,55,45
24,16431.43,1431.43,3.757034,4.009166,4.968345,1.873313,278.07999999999993,1.8133,381,55,40
31,16387.72,1387.72,3.898090,4.148471,4.816633,1.917138,278.07999999999993,1.8192,356,60,45
25,16195.98,1195.98,3.796762,3.922370,4.151123,1.798053,278.07999999999993,1.8310,315,60,40
32,16177.15,1177.15,3.990339,4.043697,4.085766,1.824396,278.07999999999993,1.8373,295,65,45
18,16176.15,1176.15,3.698585,3.719736,4.082295,1.673624,278.07999999999993,1.8319,318,55,35
26,15985.41,985.41,3.879567,3.773927,3.420256,1.692788,278.07999999999993,1.8493,254,65,40
33,15973.97,973.97,3.991680,4.089418,4.011574,1.868555,217.85000000000036,1.5689,244,70,45
12,15963.22,963.22,3.718996,3.719271,3.343237,1.803567,278.07999999999993,1.8451,259,55,30
19,15940.70,940.70,3.732937,3.570148,3.265072,1.584911,278.07999999999993,1.8501,252,60,35
6,15874.58,874.58,3.835877,3.890505,3.035577,1.845902,278.07999999999993,1.8531,228,55,25
0,15862.98,862.98,3.887297,3.860486,2.995314,1.865671,278.07999999999993,1.8533,222,55,20
34,15839.61,839.61,3.869171,4.251026,3.458174,1.840443,217.85000000000036,1.5755,217,75,45
35,15792.78,792.78,3.886176,4.758498,3.265291,1.914974,217.85000000000036,1.5778,204,80,45
27,15782.23,782.23,3.853350,3.756758,3.288062,1.708220,212.81000000000131,1.5462,203,70,40
20,15730.13,730.13,3.822670,3.340160,2.521341,1.473133,278.07999999999993,1.8781,191,65,35
13,15727.77,727.77,3.770829,3.528911,2.526014,1.722262,278.07999999999993,1.8635,193,60,30
28,15647.87,647.87,3.681080,3.857200,2.723287,1.649532,212.81000000000131,1.5528,176,75,40
7,15639.13,639.13,3.945247,3.706687,2.218354,1.759228,278.07999999999993,1.8716,162,60,25
1,15627.53,627.53,4.022628,3.667503,2.178092,1.780773,278.07999999999993,1.8719,156,60,20
29,15601.04,601.04,3.687362,4.349905,2.526440,1.714086,212.80999999999949,1.5551,163,80,40
21,15526.95,526.95,3.763929,3.190969,2.443090,1.429521,191.89000000000124,1.4139,140,70,35
14,15517.20,517.20,3.918182,3.212431,1.786035,1.601128,278.07999999999993,1.8919,132,65,30
8,15428.56,428.56,4.243168,3.353174,1.479936,1.626562,278.07999999999993,1.9002,101,65,25
2,15416.96,416.96,4.389053,3.300596,1.439878,1.653267,278.07999999999993,1.9005,95,65,20
22,15392.59,392.59,3.474248,3.139338,1.820159,1.293920,191.89000000000124,1.4199,113,75,35
23,15345.76,345.76,3.457600,3.538993,1.603041,1.335857,191.88999999999942,1.4220,100,80,35
15,15314.02,314.02,3.876790,2.935051,1.817982,1.632752,162.17000000000007,1.1363,81,70,30
9,15225.38,225.38,4.507600,3.037241,1.304811,1.688933,162.17000000000007,1.1414,50,70,25
3,15213.78,213.78,4.858636,2.947882,1.237654,1.734314,162.17000000000007,1.1415,44,70,20
16,15179.66,179.66,3.327037,2.706497,1.272380,1.448722,139.84000000000015,0.9391,54,75,30
17,15132.83,132.83,3.239756,3.292148,0.940190,1.652070,139.84000000000015,0.9410,41,80,30
10,15091.02,91.02,3.957391,2.697184,0.692694,1.250819,120.60000000000036,0.8720,23,75,25
4,15079.42,79.42,4.671765,2.505592,0.604414,0.852871,120.60000000000036,0.8721,17,75,20
11,15044.19,44.19,4.419000,8.014286,0.881508,0.417899,42.590000000000146,0.3340,10,80,25
5,15032.59,32.59,8.147500,7.012915,0.650110,0.110763,42.590000000000146,0.3340,4,80,20
