Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpQQEOverbought,InpQQEOversold
30,16662.60,1662.60,3.778636,2.975734,3.539179,1.345063,444.14999999999964,2.8239,440,55,45
24,16520.64,1520.64,3.849722,3.038637,3.236988,1.387001,444.14999999999964,2.8458,395,55,40
31,16471.48,1471.48,3.976973,3.112465,3.132341,1.313903,444.14999999999964,2.8556,370,60,45
25,16329.52,1329.52,4.090831,3.212290,2.830151,1.351622,444.15000000000146,2.8780,325,60,40
32,16249.79,1249.79,3.881335,2.979238,3.355591,1.292723,365.01000000000022,2.2925,322,65,45
18,16182.59,1182.59,3.827152,2.945017,2.571630,1.295647,444.14999999999964,2.8470,309,55,35
26,16107.83,1107.83,3.999386,3.067426,2.974440,1.341488,346.41000000000167,2.3107,277,65,40
33,16061.24,1061.24,4.113333,3.623779,2.896239,1.492302,365.01000000000022,2.4081,258,70,45
12,16015.65,1015.65,3.803933,2.854459,2.208607,1.219400,444.14999999999964,2.8807,267,55,30
19,15991.47,991.47,4.148410,3.141080,2.156026,1.252888,444.14999999999964,2.8799,239,60,35
27,15919.28,919.28,4.315869,3.976268,2.966089,1.651467,274.57999999999993,2.0168,213,70,40
6,15904.86,904.86,3.786025,2.769724,1.967686,1.285248,444.15000000000146,2.8995,239,55,25
34,15883.15,883.15,3.839783,3.232770,2.410212,1.347686,365.01000000000022,2.4135,230,75,45
0,15873.10,873.10,3.779654,2.772864,1.898621,1.304334,444.15000000000146,2.9053,231,55,20
13,15824.53,824.53,4.185431,3.047301,1.793002,1.168904,444.14999999999964,2.9144,197,60,30
35,15800.32,800.32,3.811048,3.292983,2.184160,1.324433,365.0099999999984,2.4198,210,80,45
20,15769.78,769.78,4.030262,2.934364,2.154496,1.224055,346.40999999999985,2.2673,191,65,35
28,15741.19,741.19,4.006432,3.471128,2.391475,1.468433,274.57999999999993,2.0220,185,75,40
7,15713.74,713.74,4.223314,2.948193,1.552081,1.237537,444.15000000000146,2.9336,169,60,25
1,15681.98,681.98,4.235901,2.962306,1.483017,1.258691,444.14999999999964,2.9396,161,60,20
29,15658.36,658.36,3.990061,3.597798,2.124222,1.443474,274.57999999999993,2.0318,165,80,40
14,15602.84,602.84,4.045906,2.785558,1.691091,1.099640,346.40999999999985,2.2898,149,65,30
21,15581.23,581.23,4.576614,4.399602,2.000379,1.696590,257.64999999999964,1.9120,127,70,35
8,15492.05,492.05,4.066529,2.633415,1.380302,1.178187,346.41000000000167,2.3051,121,65,25
2,15460.29,460.29,4.073363,2.629807,1.291208,1.199814,346.40999999999985,2.3098,113,65,20
15,15414.29,414.29,4.874000,4.744487,1.425833,1.510703,257.64999999999964,1.9172,85,70,30
22,15403.14,403.14,4.072121,3.487904,1.387459,1.369301,257.64999999999964,1.9169,99,75,35
23,15320.31,320.31,4.054557,3.772527,1.102388,1.297162,257.65000000000146,1.9264,79,80,35
9,15303.50,303.50,5.324561,5.086992,1.894862,2.348378,144.05000000000109,1.0586,57,70,25
3,15271.74,271.74,5.545714,5.901515,2.890544,2.893500,91.559999999999491,0.6236,49,70,20
16,15236.20,236.20,4.143860,3.322289,0.812913,1.080373,257.64999999999964,1.9222,57,75,30
17,15153.37,153.37,4.145135,3.778442,0.527843,0.912038,257.64999999999964,1.9318,37,80,30
10,15125.41,125.41,4.324483,2.919639,0.782981,1.471421,144.04999999999927,1.0613,29,75,25
4,15093.65,93.65,4.459524,3.013545,0.996171,1.544697,91.56000000000131,0.6250,21,75,20
11,15042.58,42.58,4.731111,3.262487,0.265843,0.170290,144.04999999999927,1.0666,9,80,25
5,15010.82,10.82,10.820000,0,1.110883,0.131120,4.5400000000008731,0.0649,1,80,20
