Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpQQEOverbought,InpQQEOversold
30,20512.15,5512.15,11.068574,2.701733,1.617619,0.579693,3430.5699999999997,19.8258,498,55,45
24,20378.97,5378.97,12.114797,2.812462,1.577582,0.591540,3430.5699999999997,19.9903,444,55,40
31,20185.05,5185.05,11.522333,2.739605,1.521627,0.577310,3430.5700000000015,20.1561,450,60,45
18,20182.78,5182.78,12.956950,2.775235,1.515499,0.587664,3430.5699999999997,20.2660,400,55,35
25,20051.87,5051.87,12.757247,2.864695,1.481648,0.591322,3430.5700000000015,20.3259,396,60,40
12,20049.10,5049.10,13.500267,2.737737,1.474470,0.588083,3430.5699999999997,20.4492,374,55,30
19,19855.68,4855.68,13.794545,2.824799,1.419852,0.589017,3430.5700000000015,20.6101,352,60,35
32,19732.14,4732.14,12.227752,2.705362,1.388714,0.555302,3430.5699999999997,20.6681,387,65,45
13,19722.00,4722.00,14.484663,2.783900,1.378948,0.589213,3430.5700000000015,20.7991,326,60,30
6,19659.99,4659.99,14.517103,3.316824,1.360839,0.683049,3430.5699999999997,20.9104,321,55,25
0,19646.41,4646.41,14.797484,3.323042,1.356874,0.690801,3430.5699999999997,20.9213,314,55,20
26,19598.96,4598.96,13.810691,2.837020,1.348815,0.576468,3430.5700000000015,20.8464,333,65,40
20,19402.77,4402.77,15.234498,2.793236,1.287416,0.576440,3430.5699999999997,21.1438,289,65,35
7,19332.89,4332.89,15.871392,3.471954,1.265318,0.693841,3430.5699999999997,21.2764,273,60,25
1,19319.31,4319.31,16.238008,3.480096,1.261352,0.702321,3430.5699999999997,21.2877,266,60,20
14,19269.09,4269.09,16.232281,2.748710,1.246686,0.577967,3430.5699999999997,21.3420,263,65,30
8,18879.98,3879.98,18.476095,3.507921,1.133056,0.704231,3430.5699999999997,21.8448,210,65,25
2,18866.40,3866.40,19.046305,3.517417,1.129090,0.715706,3430.5699999999997,21.8568,203,65,20
33,18468.12,3468.12,11.187484,2.807065,1.208093,0.616065,2884.4300000000003,18.6008,310,70,45
27,18334.94,3334.94,13.027109,3.023837,1.161700,0.645945,2884.4300000000003,18.6085,256,70,40
21,18138.75,3138.75,14.805425,2.962271,1.093359,0.642064,2884.4300000000003,18.6528,212,70,35
34,18130.55,3130.55,12.777755,3.153549,1.090503,0.657175,2884.4300000000003,18.9118,245,75,45
15,18005.07,3005.07,16.156290,2.895202,1.046793,0.640338,2884.4300000000003,18.6733,186,70,30
28,17997.37,2997.37,15.693037,3.535203,1.044111,0.708330,2884.4300000000003,18.9198,191,75,40
22,17801.18,2801.18,19.055646,3.470133,0.975769,0.714281,2884.4300000000003,18.9656,147,75,35
16,17667.50,2667.50,22.045455,3.381505,0.928857,0.723044,2884.4299999999985,18.9925,121,75,30
9,17615.96,2615.96,19.668872,4.783405,1.040772,0.954362,2515.2200000000012,16.2327,133,70,25
3,17602.38,2602.38,20.653810,4.825904,1.035369,0.973873,2515.2200000000012,16.2417,126,70,20
10,17278.39,2278.39,33.505735,11.085834,0.919039,1.262428,2503.3400000000001,16.3798,68,75,25
4,17264.81,2264.81,37.128033,11.550193,0.912038,1.321166,2503.3400000000001,16.4120,61,75,20
35,16950.31,1950.31,9.287190,2.421395,0.679375,0.521968,2884.4300000000003,18.9602,210,80,45
29,16817.13,1817.13,11.648269,2.650826,0.632983,0.557964,2884.4300000000003,18.9682,156,80,40
23,16620.94,1620.94,14.472679,2.540144,0.564642,0.545493,2884.4300000000003,19.0142,112,80,35
17,16487.26,1487.26,17.293721,2.432082,0.518075,0.537760,2884.4300000000003,19.0355,86,80,30
11,16098.15,1098.15,33.277273,8.608078,0.808754,1.343349,1361.4099999999999,9.0138,33,80,25
5,16084.57,1084.57,41.714231,9.147923,0.796992,1.357485,1361.4099999999999,9.0370,26,80,20
