time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,14999.86,-0.14
2025.03.03 08:00:00,15000.00,14998.88,-1.12
2025.03.03 12:00:00,15000.00,14999.55,-0.45
2025.03.03 16:00:00,15000.00,15000.47,0.47
2025.03.03 20:00:00,15000.00,15001.96,1.96
2025.03.04 00:05:00,15000.00,14999.34,-0.66
2025.03.04 04:00:00,15000.00,14998.15,-1.85
2025.03.04 08:00:00,15000.00,14997.27,-2.73
2025.03.04 12:00:00,15000.00,14999.32,-0.68
2025.03.04 16:00:00,15000.00,14999.69,-0.31
2025.03.04 20:00:00,15000.00,14998.70,-1.30
2025.03.05 00:05:00,15000.00,15003.31,3.31
2025.03.05 04:00:00,15003.07,15003.07,0.00
2025.03.05 08:00:00,15003.07,15003.07,0.00
2025.03.05 12:00:00,15003.07,15003.07,0.00
2025.03.05 16:00:00,15003.07,15003.07,0.00
2025.03.05 20:00:00,15003.07,15003.07,0.00
2025.03.06 00:05:00,15003.07,15003.07,0.00
2025.03.06 04:00:00,15003.07,15003.07,0.00
2025.03.06 08:00:00,15003.07,15003.07,0.00
2025.03.06 12:00:00,15003.07,15003.07,0.00
2025.03.06 16:00:00,15003.07,15003.07,0.00
2025.03.06 20:00:00,15003.07,15003.07,0.00
2025.03.07 00:05:00,15003.07,15003.07,0.00
2025.03.07 04:00:00,15003.07,15002.93,-0.14
2025.03.07 08:00:00,15003.07,15004.76,1.69
2025.03.07 12:00:00,15003.07,15003.54,0.47
2025.03.07 16:00:00,15003.07,15006.33,3.26
2025.03.07 20:00:00,15003.07,15005.58,2.51
2025.03.10 00:00:00,15003.07,15004.30,1.23
2025.03.10 04:00:00,15003.07,15003.16,0.09
2025.03.10 08:00:00,15003.07,15003.20,0.13
2025.03.10 12:00:00,15003.07,15002.22,-0.85
2025.03.10 16:00:00,15003.07,15003.16,0.09
2025.03.10 20:00:00,15003.07,15005.93,2.86
2025.03.11 00:00:00,15003.07,15007.97,4.90
2025.03.11 04:00:00,15008.66,15008.66,0.00
2025.03.11 08:00:00,15008.66,15008.66,0.00
2025.03.11 12:00:00,15008.66,15008.66,0.00
2025.03.11 16:00:00,15008.66,15008.66,0.00
2025.03.11 20:00:00,15008.66,15008.66,0.00
2025.03.12 00:00:00,15008.66,15008.66,0.00
2025.03.12 04:00:00,15008.66,15008.66,0.00
2025.03.12 08:00:00,15008.66,15008.66,0.00
2025.03.12 12:00:00,15008.66,15008.66,0.00
2025.03.12 16:00:00,15008.66,15008.66,0.00
2025.03.12 20:00:00,15008.66,15008.66,0.00
2025.03.13 00:00:00,15008.66,15008.66,0.00
2025.03.13 04:00:00,15008.66,15008.66,0.00
2025.03.13 08:00:00,15008.66,15008.66,0.00
2025.03.13 12:00:00,15008.66,15008.66,0.00
2025.03.13 16:00:00,15008.66,15008.66,0.00
2025.03.13 20:00:00,15008.66,15008.66,0.00
