time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,15000.00,0.00
2025.03.03 16:00:00,15000.00,15000.00,0.00
2025.03.03 20:00:00,15000.00,15000.00,0.00
2025.03.04 00:05:00,15000.00,15000.00,0.00
2025.03.04 04:00:00,15000.00,15000.00,0.00
2025.03.04 08:00:00,15000.00,15000.00,0.00
2025.03.04 12:00:00,15000.00,15000.00,0.00
2025.03.04 16:00:00,15000.00,15000.00,0.00
2025.03.04 20:00:00,15000.00,15000.00,0.00
2025.03.05 00:05:00,15000.00,15000.00,0.00
2025.03.05 04:00:00,15000.00,14999.82,-0.18
2025.03.05 08:00:00,15000.00,14999.12,-0.88
2025.03.05 12:00:00,15000.00,14998.04,-1.96
2025.03.05 16:00:00,15000.00,15000.01,0.01
2025.03.05 20:00:00,15000.00,15003.18,3.18
2025.03.06 00:10:00,15000.00,15003.61,3.61
2025.03.06 04:00:00,15003.19,15003.19,0.00
2025.03.06 08:00:00,15003.19,15003.19,0.00
2025.03.06 12:00:00,15003.19,15003.19,0.00
2025.03.06 16:00:00,15003.19,15003.19,0.00
2025.03.06 20:00:00,15003.19,15003.19,0.00
2025.03.07 00:05:00,15003.19,15003.19,0.00
2025.03.07 04:00:00,15003.19,15003.19,0.00
2025.03.07 08:00:00,15003.19,15003.19,0.00
2025.03.07 12:00:00,15003.19,15003.19,0.00
2025.03.07 16:00:00,15003.19,15003.19,0.00
2025.03.07 20:00:00,15003.19,15003.19,0.00
2025.03.10 00:00:00,15003.19,15003.19,0.00
2025.03.10 04:00:00,15003.19,15003.19,0.00
2025.03.10 08:00:00,15003.19,15003.19,0.00
2025.03.10 12:00:00,15003.19,15003.19,0.00
2025.03.10 16:00:00,15003.19,15003.19,0.00
2025.03.10 20:00:00,15003.19,15003.19,0.00
2025.03.11 00:00:00,15003.19,15003.19,0.00
2025.03.11 04:00:00,15003.19,15003.19,0.00
2025.03.11 08:00:00,15003.19,15003.19,0.00
2025.03.11 12:00:00,15003.19,15003.01,-0.18
2025.03.11 16:00:00,15003.19,15001.23,-1.96
2025.03.11 20:00:00,15003.19,14998.54,-4.65
2025.03.12 00:00:00,15003.19,15002.63,-0.56
2025.03.12 04:00:00,15003.19,15003.44,0.25
2025.03.12 08:00:00,15003.19,15003.22,0.03
2025.03.12 12:00:00,15003.19,15003.50,0.31
2025.03.12 16:00:00,15003.19,15004.43,1.24
2025.03.12 20:00:00,15004.59,15004.59,0.00
2025.03.13 00:00:00,15004.59,15004.59,0.00
2025.03.13 04:00:00,15004.59,15004.59,0.00
2025.03.13 08:00:00,15004.59,15004.59,0.00
2025.03.13 12:00:00,15004.59,15004.59,0.00
2025.03.13 16:00:00,15004.59,15004.59,0.00
2025.03.13 20:00:00,15004.59,15004.59,0.00
