time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,14999.88,-0.12
2025.03.03 08:00:00,15000.00,14999.38,-0.62
2025.03.03 12:00:00,15000.00,15000.67,0.67
2025.03.03 16:00:00,15000.00,15005.12,5.12
2025.03.03 20:00:00,15005.15,15005.15,0.00
2025.03.04 00:05:00,15005.15,15005.15,0.00
2025.03.04 04:00:00,15005.15,15005.15,0.00
2025.03.04 08:00:00,15005.15,15005.15,0.00
2025.03.04 12:00:00,15005.15,15005.15,0.00
2025.03.04 16:00:00,15005.15,15005.15,0.00
2025.03.04 20:00:00,15005.15,15005.15,0.00
2025.03.05 00:05:00,15005.15,15005.15,0.00
2025.03.05 04:00:00,15005.15,15005.15,0.00
2025.03.05 08:00:00,15005.15,15005.15,0.00
2025.03.05 12:00:00,15005.15,15005.15,0.00
2025.03.05 16:00:00,15005.15,15005.15,0.00
2025.03.05 20:00:00,15005.15,15005.15,0.00
2025.03.06 00:05:00,15005.15,15005.15,0.00
2025.03.06 04:00:00,15005.15,15005.15,0.00
2025.03.06 08:00:00,15005.15,15005.15,0.00
2025.03.06 12:00:00,15005.15,15005.15,0.00
2025.03.06 16:00:00,15005.15,15005.15,0.00
2025.03.06 20:00:00,15005.15,15005.03,-0.12
2025.03.07 00:05:00,15005.15,15006.07,0.92
2025.03.07 04:00:00,15005.15,15005.71,0.56
2025.03.07 08:00:00,15005.15,15003.39,-1.76
2025.03.07 12:00:00,15005.15,14998.58,-6.57
2025.03.07 16:00:00,15005.15,15000.26,-4.89
2025.03.07 20:00:00,15005.15,15000.42,-4.73
2025.03.10 00:00:00,15005.15,15000.93,-4.22
2025.03.10 04:00:00,15005.15,14999.45,-5.70
2025.03.10 08:00:00,15005.15,15001.25,-3.90
2025.03.10 12:00:00,15005.15,14999.62,-5.53
2025.03.10 16:00:00,15005.15,15001.24,-3.91
2025.03.10 20:00:00,15005.15,15001.79,-3.36
2025.03.11 00:00:00,15005.15,15001.32,-3.83
2025.03.11 04:00:00,15005.15,14998.97,-6.18
2025.03.11 08:00:00,15005.15,15000.94,-4.21
2025.03.11 12:00:00,15005.15,14993.93,-11.22
2025.03.11 16:00:00,15005.15,14992.86,-12.29
2025.03.11 20:00:00,15005.15,14991.35,-13.80
2025.03.12 00:00:00,15005.15,14993.64,-11.51
2025.03.12 04:00:00,15005.15,14994.14,-11.01
2025.03.12 08:00:00,15005.15,14994.45,-10.70
2025.03.12 12:00:00,15005.15,14993.34,-11.81
2025.03.12 16:00:00,15005.15,14996.35,-8.80
2025.03.12 20:00:00,15005.15,14988.91,-16.24
2025.03.13 00:00:00,15005.15,14995.59,-9.56
2025.03.13 04:00:00,15005.15,14994.39,-10.76
2025.03.13 08:00:00,15005.15,14995.59,-9.56
2025.03.13 12:00:00,15005.15,14997.30,-7.85
2025.03.13 16:00:00,15005.15,15006.90,1.75
2025.03.13 20:00:00,15007.29,15007.29,0.00
