time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,14999.89,-0.11
2025.03.03 16:00:00,15000.00,15005.00,5.00
2025.03.03 20:00:00,15005.03,15005.03,0.00
2025.03.04 00:05:00,15005.03,15005.03,0.00
2025.03.04 04:00:00,15005.03,15005.03,0.00
2025.03.04 08:00:00,15005.03,15005.03,0.00
2025.03.04 12:00:00,15005.03,15005.03,0.00
2025.03.04 16:00:00,15005.03,15005.03,0.00
2025.03.04 20:00:00,15005.03,15005.03,0.00
2025.03.05 00:05:30,15005.03,15005.03,0.00
2025.03.05 04:00:00,15005.03,15005.03,0.00
2025.03.05 08:00:00,15005.03,15005.03,0.00
2025.03.05 12:00:00,15005.03,15005.03,0.00
2025.03.05 16:00:00,15005.03,15005.03,0.00
2025.03.05 20:00:00,15005.03,15005.03,0.00
2025.03.06 00:05:30,15005.03,15005.03,0.00
2025.03.06 04:00:00,15005.03,15005.03,0.00
2025.03.06 08:00:00,15005.03,15005.03,0.00
2025.03.06 12:00:00,15005.03,15005.03,0.00
2025.03.06 16:00:00,15005.03,15005.03,0.00
2025.03.06 20:00:00,15005.03,15005.03,0.00
2025.03.07 00:05:30,15005.03,15004.66,-0.37
2025.03.07 04:00:00,15005.03,15004.54,-0.49
2025.03.07 08:00:00,15005.03,15004.45,-0.58
2025.03.07 12:00:00,15005.03,14999.10,-5.93
2025.03.07 16:00:00,15005.03,15002.64,-2.39
2025.03.07 20:00:00,15005.03,15002.19,-2.84
2025.03.10 00:00:00,15005.03,15001.08,-3.95
2025.03.10 04:00:00,15005.03,15000.00,-5.03
2025.03.10 08:00:00,15005.03,15001.62,-3.41
2025.03.10 12:00:00,15005.03,15001.97,-3.06
2025.03.10 16:00:00,15005.03,15000.32,-4.71
2025.03.10 20:00:00,15005.03,15005.14,0.11
2025.03.11 00:00:00,15005.03,15005.06,0.03
2025.03.11 04:00:00,15005.03,15003.90,-1.13
2025.03.11 08:00:00,15005.03,15005.19,0.16
2025.03.11 12:00:00,15005.03,14999.39,-5.64
2025.03.11 16:00:00,15005.03,14999.71,-5.32
2025.03.11 20:00:00,15005.03,14997.91,-7.12
2025.03.12 00:00:00,15005.03,14998.02,-7.01
2025.03.12 04:00:00,15005.03,14999.12,-5.91
2025.03.12 08:00:00,15005.03,14999.73,-5.30
2025.03.12 12:00:00,15005.03,14999.38,-5.65
2025.03.12 16:00:00,15005.03,14999.33,-5.70
2025.03.12 20:00:00,15005.03,14996.11,-8.92
2025.03.13 00:00:00,15005.03,14996.30,-8.73
2025.03.13 04:00:00,15005.03,14996.07,-8.96
2025.03.13 08:00:00,15005.03,14996.89,-8.14
2025.03.13 12:00:00,15005.03,14996.78,-8.25
2025.03.13 16:00:00,15005.03,14998.81,-6.22
2025.03.13 20:00:00,15005.03,14997.85,-7.18
