time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:30,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,14999.88,-0.12
2025.03.03 16:00:00,15000.00,15000.98,0.98
2025.03.03 20:00:00,15000.00,15004.37,4.37
2025.03.04 00:05:00,15004.37,15004.37,0.00
2025.03.04 04:00:00,15004.37,15004.37,0.00
2025.03.04 08:00:00,15004.37,15004.37,0.00
2025.03.04 12:00:00,15004.37,15004.37,0.00
2025.03.04 16:00:00,15004.37,15004.37,0.00
2025.03.04 20:00:00,15004.37,15004.37,0.00
2025.03.05 00:05:00,15004.37,15004.37,0.00
2025.03.05 04:00:00,15004.37,15004.37,0.00
2025.03.05 08:00:00,15004.37,15004.37,0.00
2025.03.05 12:00:00,15004.37,15004.37,0.00
2025.03.05 16:00:00,15004.37,15004.25,-0.12
2025.03.05 20:00:00,15004.37,15007.19,2.82
2025.03.06 00:05:00,15004.37,15006.94,2.57
2025.03.06 04:00:00,15004.37,15006.84,2.47
2025.03.06 08:00:00,15004.37,15007.41,3.04
2025.03.06 12:00:00,15004.37,15002.02,-2.35
2025.03.06 16:00:00,15004.37,15000.65,-3.72
2025.03.06 20:00:00,15004.37,15000.27,-4.10
2025.03.07 00:05:00,15004.37,14999.26,-5.11
2025.03.07 04:00:00,15004.37,14998.37,-6.00
2025.03.07 08:00:00,15004.37,14996.82,-7.55
2025.03.07 12:00:00,15004.37,14993.57,-10.80
2025.03.07 16:00:00,15004.37,14994.33,-10.04
2025.03.07 20:00:00,15004.37,14994.11,-10.26
2025.03.10 00:00:00,15004.37,14994.89,-9.48
2025.03.10 04:00:00,15004.37,14993.16,-11.21
2025.03.10 08:00:00,15004.37,14993.34,-11.03
2025.03.10 12:00:00,15004.37,14991.98,-12.39
2025.03.10 16:00:00,15004.37,14993.47,-10.90
2025.03.10 20:00:00,15004.37,15002.76,-1.61
2025.03.11 00:00:00,15004.37,14999.80,-4.57
2025.03.11 04:00:00,15004.37,14989.62,-14.75
2025.03.11 08:00:00,15004.37,14998.16,-6.21
2025.03.11 12:00:00,15004.37,15002.25,-2.12
2025.03.11 16:00:00,15004.37,14997.65,-6.72
2025.03.11 20:00:00,15004.37,14998.57,-5.80
2025.03.12 00:00:00,15004.37,15007.56,3.19
2025.03.12 04:00:00,15004.37,15009.94,5.57
2025.03.12 08:00:00,15004.37,15010.28,5.91
2025.03.12 12:00:00,15010.24,15010.24,0.00
2025.03.12 16:00:00,15010.24,15010.24,0.00
2025.03.12 20:00:00,15010.24,15010.12,-0.12
2025.03.13 00:00:00,15010.24,15009.82,-0.42
2025.03.13 04:00:00,15010.24,15009.76,-0.48
2025.03.13 08:00:00,15010.24,15009.75,-0.49
2025.03.13 12:00:00,15010.24,15010.47,0.23
2025.03.13 16:00:00,15010.24,15012.46,2.22
2025.03.13 20:00:00,15012.46,15012.46,0.00
2025.03.14 00:00:00,15012.46,15012.46,0.00
2025.03.14 04:00:00,15012.46,15012.46,0.00
2025.03.14 08:00:00,15012.46,15012.46,0.00
2025.03.14 12:00:00,15012.46,15012.46,0.00
2025.03.14 16:00:00,15012.46,15012.46,0.00
2025.03.14 20:00:00,15012.46,15012.46,0.00
2025.03.17 00:00:00,15012.46,15012.46,0.00
2025.03.17 04:00:00,15012.46,15012.46,0.00
2025.03.17 08:00:00,15012.46,15012.46,0.00
2025.03.17 12:00:00,15012.46,15012.34,-0.12
2025.03.17 16:00:00,15012.46,15013.17,0.71
2025.03.17 20:00:00,15013.17,15013.17,0.00
2025.03.18 00:00:00,15013.17,15013.17,0.00
2025.03.18 04:00:00,15013.17,15013.17,0.00
2025.03.18 08:00:00,15013.17,15013.17,0.00
2025.03.18 12:00:00,15013.17,15013.17,0.00
2025.03.18 16:00:00,15013.17,15013.17,0.00
2025.03.18 20:00:00,15013.17,15013.17,0.00
2025.03.19 00:00:00,15013.17,15013.17,0.00
2025.03.19 04:00:00,15013.17,15013.17,0.00
2025.03.19 08:00:00,15013.17,15013.17,0.00
2025.03.19 12:00:00,15013.17,15013.04,-0.13
2025.03.19 16:00:00,15013.17,15014.93,1.76
2025.03.19 20:00:00,15013.17,15015.04,1.87
2025.03.20 00:00:00,15013.17,15012.22,-0.95
2025.03.20 04:00:00,15013.17,15011.05,-2.12
2025.03.20 08:00:00,15013.17,15011.04,-2.13
2025.03.20 12:00:00,15013.17,15017.40,4.23
2025.03.20 16:00:00,15017.43,15017.43,0.00
2025.03.20 20:00:00,15017.43,15017.43,0.00
2025.03.21 00:00:00,15017.43,15017.43,0.00
2025.03.21 04:00:00,15017.43,15017.43,0.00
2025.03.21 08:00:00,15017.43,15017.43,0.00
2025.03.21 12:00:00,15017.43,15017.43,0.00
2025.03.21 16:00:00,15017.43,15017.43,0.00
2025.03.21 20:00:00,15017.43,15017.43,0.00
2025.03.24 00:00:00,15017.43,15017.43,0.00
2025.03.24 04:00:00,15017.43,15017.43,0.00
2025.03.24 08:00:00,15017.43,15017.43,0.00
2025.03.24 12:00:00,15017.43,15017.43,0.00
2025.03.24 16:00:00,15017.43,15017.43,0.00
2025.03.24 20:00:00,15017.43,15017.43,0.00
