time,balance,equity,floating_profit
2025.03.01 00:00:00,15000.00,15000.00,0.00
2025.03.03 00:05:00,15000.00,15000.00,0.00
2025.03.03 04:00:00,15000.00,15000.00,0.00
2025.03.03 08:00:00,15000.00,15000.00,0.00
2025.03.03 12:00:00,15000.00,15000.00,0.00
2025.03.03 16:00:00,15000.00,15000.00,0.00
2025.03.03 20:00:00,15000.00,14999.88,-0.12
2025.03.04 00:05:00,15000.00,15004.27,4.27
2025.03.04 04:00:00,15004.25,15004.25,0.00
2025.03.04 08:00:00,15004.25,15004.25,0.00
2025.03.04 12:00:00,15004.25,15004.25,0.00
2025.03.04 16:00:00,15004.25,15004.25,0.00
2025.03.04 20:00:00,15004.25,15004.25,0.00
2025.03.05 00:05:00,15004.25,15004.25,0.00
2025.03.05 04:00:00,15004.25,15004.25,0.00
2025.03.05 08:00:00,15004.25,15004.25,0.00
2025.03.05 12:00:00,15004.25,15004.25,0.00
2025.03.05 16:00:00,15004.25,15004.25,0.00
2025.03.05 20:00:00,15004.25,15004.25,0.00
2025.03.06 00:05:00,15004.25,15004.25,0.00
2025.03.06 04:00:00,15004.25,15004.25,0.00
2025.03.06 08:00:00,15004.25,15004.25,0.00
2025.03.06 12:00:00,15004.25,15004.25,0.00
2025.03.06 16:00:00,15004.25,15004.25,0.00
2025.03.06 20:00:00,15004.25,15004.25,0.00
2025.03.07 00:05:00,15004.25,15004.25,0.00
2025.03.07 04:00:00,15004.25,15004.25,0.00
2025.03.07 08:00:00,15004.25,15004.25,0.00
2025.03.07 12:00:00,15004.25,15004.25,0.00
2025.03.07 16:00:00,15004.25,15004.25,0.00
2025.03.07 20:00:00,15004.25,15004.25,0.00
2025.03.10 00:00:00,15004.25,15004.25,0.00
2025.03.10 04:00:00,15004.25,15004.13,-0.12
2025.03.10 08:00:00,15004.25,15004.87,0.62
2025.03.10 12:00:00,15004.25,15002.88,-1.37
2025.03.10 16:00:00,15004.25,15001.77,-2.48
2025.03.10 20:00:00,15004.25,15002.57,-1.68
2025.03.11 00:00:00,15004.25,15002.37,-1.88
2025.03.11 04:00:00,15004.25,15000.02,-4.23
2025.03.11 08:00:00,15004.25,15002.87,-1.38
2025.03.11 12:00:00,15004.25,15003.86,-0.39
2025.03.11 16:00:00,15004.25,15006.39,2.14
2025.03.11 20:00:00,15004.25,15002.62,-1.63
2025.03.12 00:00:00,15004.25,15006.27,2.02
2025.03.12 04:00:00,15004.25,15008.38,4.13
2025.03.12 08:00:00,15008.57,15008.57,0.00
2025.03.12 12:00:00,15008.57,15008.57,0.00
2025.03.12 16:00:00,15008.57,15008.57,0.00
2025.03.12 20:00:00,15008.57,15008.57,0.00
2025.03.13 00:00:00,15008.57,15008.57,0.00
2025.03.13 04:00:00,15008.57,15008.57,0.00
2025.03.13 08:00:00,15008.57,15008.57,0.00
2025.03.13 12:00:00,15008.57,15008.57,0.00
2025.03.13 16:00:00,15008.57,15008.57,0.00
2025.03.13 20:00:00,15008.57,15008.57,0.00
