Symbol,Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades
GBPCHF,16,15607.56,607.56,6.395368,1.878752,0.252038,0.264751,2423.0799999999999,16.0086,95
CHFJPY,9,15366.45,366.45,4.638608,2.235877,0.553224,0.635074,676.36000000000058,4.4023,79
USDCHF,2,15362.14,362.14,4.584051,2.522236,1.644222,1.217816,208.39000000000124,1.4385,79
USDJPY,7,15277.29,277.29,4.018696,2.298965,0.394079,0.817708,701.72999999999956,4.6871,69
AUDCHF,0,15247.60,247.60,3.134177,6.241321,2.887127,2.405379,88.899999999999636,0.5670,79
EURNZD,18,15235.22,235.22,3.266944,1.919367,0.439664,0.573666,541.76999999999862,3.5482,72
AUDUSD,4,15230.74,230.74,2.884250,4.497650,2.339925,2.012520,99.68999999999869,0.6498,80
GBPJPY,20,15223.14,223.14,3.782034,5.856148,2.840738,3.956793,71.909999999999854,0.5226,59
EURJPY,15,15215.38,215.38,2.871733,2.727324,1.727462,1.403782,123.39999999999964,0.8310,75
GBPUSD,3,15214.42,214.42,3.634237,2.713441,1.929452,1.882239,108.85000000000036,0.7360,59
NZDUSD,8,15211.68,211.68,3.067826,3.756609,1.658934,1.908335,127.42999999999847,0.8419,69
AUDJPY,5,15203.56,203.56,3.231111,10.227561,4.578498,4.576626,43.270000000000437,0.2933,63
USDCAD,6,15201.06,201.06,2.913913,3.034197,1.001195,1.400617,199.10000000000036,1.3283,69
EURUSD,1,15177.27,177.27,3.165536,4.078139,2.464479,2.729271,72.829999999999927,0.4771,56
EURAUD,19,15157.06,157.06,2.574754,1.907809,0.475507,0.801078,324.46999999999935,2.1883,61
EURGBP,12,15147.94,147.94,1.761190,1.631440,0.368193,0.402473,402.38000000000102,2.6720,84
CADCHF,11,15147.48,147.48,2.458000,5.102364,2.309065,2.573322,57.550000000001091,0.4218,60
EURCAD,13,15127.21,127.21,2.051774,3.295381,1.350855,1.927013,94.1299999999992,0.6278,62
EURCHF,14,14983.53,-16.47,-0.216711,0.939319,-0.041209,-0.064526,330.07999999999993,2.6194,76
AUDCAD,10,13236.00,-1764.00,-23.520000,0.048626,-0.858862,-2.306346,2068.6800000000003,13.6253,75
AUDNZD,17,9961.36,-5038.64,-47.987048,0.031701,-0.942544,-2.044151,5386.3099999999995,35.5347,105
