Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
17,15289.46,289.46,3.327126,6.306324,3.367380,2.748023,88.899999999999636,0.5679,87,35,2.00
25,15270.32,270.32,3.604267,6.435753,3.152052,2.652452,88.899999999999636,0.5670,75,40,2.25
32,15257.55,257.55,3.732609,6.296114,3.003148,2.662513,88.899999999999636,0.5670,69,40,2.50
24,15247.60,247.60,3.134177,6.241321,2.887127,2.405379,88.899999999999636,0.5670,79,35,2.25
31,15236.07,236.07,3.278750,6.024904,2.752682,2.435713,88.900000000001455,0.5670,72,35,2.50
0,15233.86,233.86,2.487872,3.525759,2.457803,2.178789,88.899999999999636,0.6298,94,20,1.50
23,15224.50,224.50,2.993333,6.915679,3.902312,3.020409,55.3700000000008,0.3821,75,30,2.25
19,15214.67,214.67,3.023521,4.360520,2.491527,2.063078,88.899999999999636,0.5702,71,45,2.00
26,15206.77,206.77,3.132879,5.472637,2.453952,2.230900,87,0.5578,66,45,2.25
33,15206.31,206.31,3.223594,5.218156,2.448493,2.237671,87,0.5578,64,45,2.50
30,15205.57,205.57,3.068209,7.580346,3.573266,2.967747,55.3700000000008,0.3823,67,30,2.50
7,15204.57,204.57,2.324659,3.260442,2.290305,1.947470,88.899999999999636,0.5915,88,20,1.75
38,15200.93,200.93,3.720926,6.317015,2.235785,2.464089,88.899999999999636,0.5948,54,35,2.75
14,15200.22,200.22,2.412289,3.895863,2.241603,2.154708,88.899999999999636,0.5915,83,20,2.00
21,15196.62,196.62,2.553506,4.191365,2.201299,2.195338,88.900000000001455,0.5916,77,20,2.25
29,15195.66,195.66,2.920299,7.730650,3.401008,2.944446,55.3700000000008,0.3825,67,25,2.50
22,15190.45,190.45,2.682394,6.593245,3.138596,2.776054,60.3700000000008,0.4034,71,25,2.25
39,15188.59,188.59,3.928958,7.384225,2.143799,2.379682,87,0.5823,48,40,2.75
20,15187.50,187.50,2.500000,3.369818,1.610271,1.636927,111.26000000000022,0.7678,75,50,2.00
28,15185.83,185.83,2.732794,4.027040,2.077938,2.174454,88.899999999999636,0.5925,68,20,2.50
36,15183.22,183.22,3.392963,7.397346,3.184773,3.064872,55.369999999998981,0.3824,54,25,2.75
35,15178.05,178.05,3.069828,5.184489,1.865961,2.342263,88.899999999999636,0.6317,58,20,2.75
37,15176.44,176.44,3.675833,9.248714,3.066922,3.164445,55.369999999998981,0.3827,48,30,2.75
43,15168.55,168.55,3.586170,7.967755,2.929776,3.068387,55.369999999998981,0.3824,47,25,3.00
27,15165.00,165.00,2.704918,4.307276,1.914597,2.048938,87,0.5717,61,50,2.25
34,15158.78,158.78,2.785614,4.018057,1.842423,2.026577,87,0.5718,57,50,2.50
40,15151.42,151.42,3.441364,6.419470,2.683800,2.585161,54.619999999998981,0.3753,44,45,2.75
44,15147.61,147.61,3.600244,9.488212,2.565792,2.979537,55.369999999998981,0.3828,41,30,3.00
46,15140.91,140.91,4.144412,6.299361,1.793204,2.153551,77.600000000000364,0.5209,34,40,3.00
45,15139.33,139.33,3.572564,5.169060,1.550351,2.001089,88.899999999999636,0.5961,39,35,3.00
41,15137.58,137.58,2.866250,4.017767,1.761588,1.998583,77.599999999998545,0.5182,48,50,2.75
47,15134.08,134.08,4.469333,9.861864,2.377727,2.843433,49.6200000000008,0.3752,30,45,3.00
42,15115.34,115.34,2.621364,5.378891,1.211300,2.225471,88.899999999999636,0.6326,44,20,3.00
48,15103.85,103.85,3.054412,3.931132,1.321583,1.783681,77.600000000000364,0.5222,34,50,3.00
4,14107.10,-892.90,-8.344860,0.318131,-0.563315,-0.887038,1594.7099999999991,10.3441,107,40,1.50
11,14101.16,-898.84,-8.642692,0.313496,-0.566573,-0.894523,1594.7099999999991,10.3562,104,40,1.75
18,14089.88,-910.12,-9.286939,0.301841,-0.573683,-0.910919,1594.7100000000009,10.3638,98,40,2.00
3,14083.26,-916.74,-8.258919,0.297496,-0.580686,-0.922953,1594.7099999999991,10.3230,111,35,1.50
10,14075.84,-924.16,-8.718491,0.290668,-0.584135,-0.935533,1594.7099999999991,10.3478,106,35,1.75
2,14050.75,-949.25,-9.492500,0.255940,-0.604406,-0.948579,1595.7799999999988,10.2969,100,30,1.50
9,14050.05,-949.95,-9.595455,0.255391,-0.604852,-0.949775,1595.7800000000007,10.2974,99,30,1.75
5,14033.76,-966.24,-9.380971,0.274344,-0.609046,-0.956638,1594.7099999999991,10.4021,103,45,1.50
12,14013.13,-986.87,-10.173918,0.256220,-0.621513,-0.981177,1594.7100000000009,10.4243,97,45,1.75
16,13999.41,-1000.59,-11.117667,0.212655,-0.637095,-1.038502,1595.7799999999988,10.3317,90,30,2.00
1,13997.93,-1002.07,-10.225204,0.210496,-0.637599,-1.052911,1595.7799999999988,10.3391,98,25,1.50
8,13996.14,-1003.86,-10.911522,0.207650,-0.638738,-1.063182,1595.7800000000007,10.3403,92,25,1.75
6,13984.30,-1015.70,-10.259596,0.232925,-0.640222,-0.990617,1594.7100000000009,10.4359,99,50,1.50
15,13967.69,-1032.31,-11.598989,0.185194,-0.656840,-1.101915,1595.7800000000007,10.3597,89,25,2.00
13,13958.48,-1041.52,-11.445275,0.206044,-0.655931,-1.030456,1594.7099999999991,10.4618,91,50,1.75
