Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
4,15275.38,275.38,2.961075,3.725186,1.887328,1.845030,140.95000000000073,0.9557,93,40,1.50
3,15271.48,271.48,2.714800,3.079510,1.510404,1.285816,178.09000000000015,1.1839,100,35,1.50
2,15256.97,256.97,2.470865,3.081234,1.458896,1.236341,176.43999999999869,1.1608,104,30,1.50
11,15249.97,249.97,3.048415,4.471323,1.713179,2.641848,140.94999999999891,0.9571,82,40,1.75
18,15247.20,247.20,3.296000,5.065121,1.694195,2.724837,140.95000000000073,0.9573,75,40,2.00
5,15243.64,243.64,3.205789,3.818602,1.669796,1.864079,140.95000000000073,0.9580,76,45,1.50
25,15236.37,236.37,3.812419,14.945133,5.318857,5.339212,41.5,0.2928,62,40,2.25
10,15229.56,229.56,2.765783,6.714712,4.635703,4.201427,49.469999999999345,0.3263,83,35,1.75
6,15227.59,227.59,3.251286,4.707281,1.559797,2.618506,140.94999999999891,0.9589,70,50,1.50
12,15225.90,225.90,3.322059,4.936226,1.548215,2.650380,140.95000000000073,0.9590,68,45,1.75
32,15221.54,221.54,4.102593,24.101147,4.987393,5.649283,40.680000000000291,0.2931,54,40,2.50
19,15219.96,219.96,3.384000,5.323113,1.507505,2.684351,140.94999999999891,0.9594,65,45,2.00
17,15219.87,219.87,3.096761,10.130814,4.945344,4.589839,43.270000000000437,0.2931,71,35,2.00
9,15218.10,218.10,2.565882,4.645328,1.711797,1.973748,130.43000000000029,0.8483,85,30,1.75
13,15214.58,214.58,3.301231,4.495358,1.470633,2.513264,140.94999999999891,0.9597,65,50,1.75
16,15214.17,214.17,2.745769,4.585035,1.680951,2.004821,130.43000000000029,0.8481,78,30,2.00
1,15211.35,211.35,2.113500,2.737218,1.189766,1.034390,180.39999999999964,1.1732,100,25,1.50
26,15208.48,208.48,3.790545,23.834611,7.364182,6.400397,22.899999999999636,0.1884,55,45,2.25
20,15206.86,206.86,3.391148,5.011247,1.417723,2.582890,140.95000000000073,0.9601,61,50,2.00
24,15203.56,203.56,3.231111,10.227561,4.578498,4.576626,43.270000000000437,0.2933,63,35,2.25
8,15201.53,201.53,2.166989,2.695239,1.134485,1.036205,180.39999999999964,1.1738,93,25,1.75
23,15195.68,195.68,2.795429,4.475049,1.535829,2.126374,130.43000000000029,0.8482,70,30,2.25
39,15193.68,193.68,4.842000,31.694136,4.360198,6.904300,40.680000000000291,0.2936,40,40,2.75
27,15189.99,189.99,3.877347,22.180602,6.711056,6.706251,22.899999999999636,0.1884,49,50,2.25
15,15183.50,183.50,2.265432,3.996897,1.440232,1.953621,130.43000000000029,0.8484,81,25,2.00
33,15180.75,180.75,4.107955,26.174095,6.384670,6.640863,22.899999999999636,0.1884,44,45,2.50
31,15173.57,173.57,3.403333,10.173890,3.903959,5.298205,43.270000000000437,0.2938,51,35,2.50
34,15169.95,169.95,4.248750,25.038190,6.003179,7.102048,22.899999999999636,0.1884,40,50,2.50
22,15167.91,167.91,2.364930,3.746320,1.317871,1.852690,130.43000000000029,0.8484,71,25,2.25
30,15167.50,167.50,2.938596,7.151304,3.382472,4.690083,49.469999999999345,0.3272,57,30,2.50
38,15154.51,154.51,3.768537,13.929707,3.476823,5.391920,41.5,0.2940,41,35,2.75
37,15153.95,153.95,3.275532,8.993250,3.108845,5.344935,49.470000000001164,0.3274,47,30,2.75
0,15151.17,151.17,1.679667,5.592041,3.090779,4.086232,49.470000000001164,0.3237,90,20,1.50
7,15150.24,150.24,1.726897,8.046904,3.071764,4.660512,49.469999999999345,0.3238,87,20,1.75
29,15148.25,148.25,2.470833,5.852700,3.001620,4.212913,49.470000000001164,0.3267,60,25,2.50
40,15140.87,140.87,4.695667,23.324881,4.975980,6.469589,22.899999999999636,0.1885,30,45,2.75
14,15137.64,137.64,1.742278,7.800395,2.814148,4.562757,49.469999999999345,0.3240,79,20,2.00
46,15132.49,132.49,4.416333,21.996830,4.679972,6.816972,22.899999999999636,0.1885,30,40,3.00
36,15131.75,131.75,2.744792,7.113689,2.667544,5.011263,49.469999999999345,0.3269,48,25,2.75
41,15130.00,130.00,4.333333,19.978102,4.592017,6.296894,22.899999999999636,0.1885,30,50,2.75
45,15128.38,128.38,4.426897,66.167513,4.534793,7.506749,22.900000000001455,0.1886,29,35,3.00
21,15125.68,125.68,1.848235,7.271457,2.569618,4.537422,49.469999999999345,0.3242,68,20,2.25
44,15119.31,119.31,3.615455,8.565631,2.409330,4.993735,49.469999999999345,0.3279,33,30,3.00
47,15113.23,113.23,4.923043,18.944532,3.999647,5.463688,22.900000000001455,0.1886,23,45,3.00
43,15101.77,101.77,2.907714,7.412728,2.060539,4.545247,49.469999999999345,0.3274,35,25,3.00
28,15098.87,98.87,1.938627,6.044388,2.021468,4.241544,49.470000000001164,0.3244,51,20,2.50
35,15093.06,93.06,2.023043,5.794436,1.902678,4.135327,49.470000000001164,0.3245,46,20,2.75
42,15085.28,85.28,2.080000,5.804507,1.743611,4.153437,49.469999999999345,0.3246,41,20,3.00
48,15077.33,77.33,4.296111,13.255151,2.731544,3.395585,22.900000000001455,0.1886,18,50,3.00
