Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
3,15265.87,265.87,2.685556,4.439902,2.527762,2.111593,103.8700000000008,0.6921,99,35,1.50
10,15264.35,264.35,2.782632,4.579069,2.649594,2.134158,101.46999999999935,0.6568,95,35,1.75
17,15257.23,257.23,2.923068,4.528048,2.586266,2.110473,101.15999999999985,0.6551,88,35,2.00
2,15248.96,248.96,2.417087,4.187300,2.445580,2.011869,103.8700000000008,0.6707,103,30,1.50
9,15242.05,242.05,2.444949,4.136988,2.369091,1.996244,103.8700000000008,0.6734,99,30,1.75
4,15240.47,240.47,2.671889,4.224755,2.374074,2.101375,101.46999999999935,0.6667,90,40,1.50
1,15231.16,231.16,2.407917,3.855943,2.253241,1.976369,103.86999999999898,0.6764,96,25,1.50
24,15230.74,230.74,2.884250,4.497650,2.339925,2.012520,99.68999999999869,0.6498,80,35,2.25
15,15230.01,230.01,2.527582,3.917058,2.242031,1.997920,103.86999999999898,0.6765,91,25,2.00
8,15229.09,229.09,2.463333,3.830368,2.233064,1.978780,103.86999999999898,0.6765,93,25,1.75
11,15227.13,227.13,2.736506,4.063115,2.249257,2.041618,101.15999999999985,0.6653,83,40,1.75
16,15225.32,225.32,2.560455,3.952306,2.205344,1.914379,103.8700000000008,0.6741,88,30,2.00
5,15224.32,224.32,2.639059,6.434109,4.100914,2.966673,54.390000000001237,0.3604,85,45,1.50
0,15224.09,224.09,2.334271,3.437350,2.165539,1.806614,103.86999999999898,0.6820,96,20,1.50
6,15222.73,222.73,2.749753,6.452387,4.215976,2.756455,54.389999999999418,0.3479,81,50,1.50
13,15217.64,217.64,2.863684,6.663284,4.119629,2.757687,54.389999999999418,0.3480,76,50,1.75
22,15217.27,217.27,2.556118,3.761790,2.117848,1.912802,103.8700000000008,0.6771,85,25,2.25
12,15216.01,216.01,2.602530,6.187560,3.948995,2.875483,54.389999999999418,0.3606,83,45,1.75
20,15216.00,216.00,3.000000,7.269956,4.123711,2.820281,51.709999999999127,0.3451,72,50,2.00
18,15214.60,214.60,2.861333,5.175097,2.143214,2.122804,99.690000000000509,0.6602,75,40,2.00
14,15211.57,211.57,2.350778,3.510621,2.044550,1.825085,103.8700000000008,0.6825,90,20,2.00
7,15211.57,211.57,2.350778,3.510621,2.044550,1.825085,103.8700000000008,0.6825,90,20,1.75
19,15210.95,210.95,2.929861,6.837023,3.856490,3.005852,54.389999999999418,0.3607,72,45,2.00
25,15210.07,210.07,3.282344,7.090751,3.857326,3.039248,54.389999999999418,0.3590,64,40,2.25
21,15206.12,206.12,2.424941,3.579402,2.009163,1.846425,103.86999999999898,0.6769,85,20,2.25
23,15200.56,200.56,2.571282,3.772463,2.033871,1.791932,99.68999999999869,0.6512,78,30,2.25
26,15196.72,196.72,3.172903,6.479666,3.596344,2.899280,54.390000000001237,0.3608,62,45,2.25
28,15188.62,188.62,2.514933,3.782416,1.838581,1.849110,103.8700000000008,0.6776,75,20,2.50
27,15183.77,183.77,3.224035,7.875047,4.683231,3.947691,38.399999999999636,0.2586,57,50,2.25
31,15182.82,182.82,2.997049,5.468834,2.438575,3.000931,79.159999999999854,0.4964,61,35,2.50
38,15181.32,181.32,3.181053,5.579944,2.418567,3.140586,79.159999999999854,0.4966,57,35,2.75
30,15172.50,172.50,2.574627,5.056914,2.625171,2.850984,71.190000000000509,0.4353,67,30,2.50
32,15168.06,168.06,3.429796,7.823386,4.282875,4.069376,38.399999999999636,0.2589,49,40,2.50
35,15165.70,165.70,2.630159,3.463574,1.615167,1.705956,103.8700000000008,0.6786,63,20,2.75
29,15165.54,165.54,2.364857,4.385969,2.576097,2.699692,71.190000000000509,0.4256,70,25,2.50
33,15158.47,158.47,3.445000,7.323623,4.038481,4.073054,38.399999999999636,0.2590,46,45,2.50
37,15149.11,149.11,2.570862,4.934301,1.902399,2.613311,71.190000000000509,0.5195,58,30,2.75
39,15148.62,148.62,3.456279,7.867837,3.787462,4.158144,38.399999999999636,0.2592,43,40,2.75
36,15146.30,146.30,2.566667,5.308009,1.883125,2.744216,71.190000000000509,0.5148,57,25,2.75
34,15138.88,138.88,3.561026,6.769838,3.539246,3.790857,38.399999999999636,0.2593,39,50,2.50
42,15123.60,123.60,2.522449,3.838769,1.196283,1.586390,103.86999999999898,0.6847,49,20,3.00
40,15121.40,121.40,3.570588,8.457002,3.093782,4.067327,38.399999999999636,0.2596,34,45,2.75
44,15113.19,113.19,2.902308,5.073048,1.444118,2.686420,71.18999999999869,0.5199,39,30,3.00
43,15112.38,112.38,2.881538,11.197822,2.863914,3.519002,38.400000000001455,0.2599,39,25,3.00
45,15103.86,103.86,2.967429,22.728033,5.359133,4.612071,16.780000000000655,0.1285,35,35,3.00
46,15101.58,101.58,3.174375,8.898911,2.791426,4.250731,36.110000000000582,0.2415,32,40,3.00
41,15090.64,90.64,3.125517,7.625731,2.309888,3.543952,38.399999999999636,0.2600,29,50,2.75
47,15086.15,86.15,2.970690,7.433906,2.195464,3.401299,38.399999999999636,0.2602,29,45,3.00
48,15079.25,79.25,3.048077,6.793129,2.019623,3.319196,38.400000000001455,0.2602,26,50,3.00
