Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
4,15169.15,169.15,2.168590,2.857566,1.238922,1.171733,141.64000000000124,0.9007,78,40,1.50
3,15169.06,169.06,2.140000,2.930570,1.229080,1.183032,141.64000000000124,0.9074,79,35,1.50
11,15162.51,162.51,2.539219,5.124619,2.544387,2.613152,57.549999999999272,0.4214,64,40,1.75
18,15161.88,161.88,2.653770,5.153965,2.534523,2.612963,57.550000000001091,0.4215,61,40,2.00
17,15160.48,160.48,2.507500,5.463978,2.512604,2.649527,57.550000000001091,0.4215,64,35,2.00
5,15157.52,157.52,2.187778,4.647141,2.466260,2.175134,57.549999999999272,0.4216,72,45,1.50
25,15154.14,154.14,2.704211,5.000519,2.413340,2.523648,57.550000000001091,0.4217,57,40,2.25
12,15153.66,153.66,2.328182,4.673440,2.405824,2.157750,57.549999999999272,0.4217,66,45,1.75
23,15153.35,153.35,2.359231,4.932051,2.409269,2.405858,57.550000000001091,0.4204,65,30,2.25
19,15152.80,152.80,2.387500,4.670430,2.392359,2.152757,57.550000000001091,0.4217,64,45,2.00
14,15152.16,152.16,2.143099,6.118063,3.520592,3.096062,41.350000000000364,0.2873,71,20,2.00
16,15148.47,148.47,1.832963,2.585033,1.084435,1.029256,141.63999999999942,0.9046,81,30,2.00
26,15148.08,148.08,2.427541,4.575948,2.318459,2.214127,57.549999999999272,0.4218,61,45,2.25
24,15147.48,147.48,2.458000,5.102364,2.309065,2.573322,57.550000000001091,0.4218,60,35,2.25
10,15147.21,147.21,1.989324,2.689157,1.070229,1.065335,141.64000000000124,0.9087,74,35,1.75
21,15146.37,146.37,2.251846,5.987053,3.386627,3.025230,41.350000000000364,0.2873,65,20,2.25
31,15144.01,144.01,2.823725,5.157333,2.262529,2.541337,57.549999999999272,0.4205,51,35,2.50
32,15139.10,139.10,2.727451,4.630906,2.185389,2.313556,57.549999999999272,0.4206,51,40,2.50
15,15136.36,136.36,1.683457,2.755181,0.901733,1.020152,157.30999999999949,1.0000,81,25,2.00
30,15136.26,136.26,2.390526,4.536465,2.140770,2.207385,57.550000000001091,0.4208,57,30,2.50
39,15135.50,135.50,2.945652,4.699154,2.128830,2.306530,57.549999999999272,0.4207,46,40,2.75
29,15134.13,134.13,2.353158,7.335853,3.103424,2.859362,41.350000000000364,0.2871,57,25,2.50
22,15133.30,133.30,1.826027,2.730944,0.882898,1.007729,157.04999999999927,0.9986,73,25,2.25
37,15132.87,132.87,2.555192,4.603743,2.087510,2.179407,57.549999999999272,0.4209,52,30,2.75
28,15132.50,132.50,2.324561,5.616725,3.081395,2.810461,41.349999999998545,0.2858,57,20,2.50
38,15132.31,132.31,2.876304,5.024027,2.078712,2.378797,57.550000000001091,0.4208,46,35,2.75
33,15131.19,131.19,2.475283,4.324633,2.061115,2.041645,57.549999999999272,0.4209,53,45,2.50
36,15129.28,129.28,2.439245,7.315584,3.006512,2.822670,41.350000000000364,0.2857,53,25,2.75
35,15128.13,128.13,2.512353,6.379093,2.979767,2.897624,41.350000000000364,0.2858,51,20,2.75
45,15122.83,122.83,2.924524,4.785208,1.929772,2.584573,57.549999999999272,0.4211,42,35,3.00
40,15120.78,120.78,2.516250,4.049230,1.897565,1.946028,57.549999999999272,0.4212,48,45,2.75
44,15117.25,117.25,2.494681,4.228249,1.842105,2.084904,57.550000000001091,0.4214,47,30,3.00
43,15114.68,114.68,2.389167,6.602345,2.666977,2.699197,41.350000000000364,0.2858,48,25,3.00
27,15109.41,109.41,1.585652,2.028193,0.877315,0.884337,103.38999999999942,0.8207,69,50,2.25
42,15105.52,105.52,2.344889,5.476877,2.436389,2.505222,41.350000000000364,0.2880,45,20,3.00
47,15104.88,104.88,2.497143,5.701031,2.537624,2.259222,39.819999999999709,0.2748,42,45,3.00
6,15104.21,104.21,1.319114,1.958870,0.835619,0.826986,103.38999999999942,0.8209,79,50,1.50
13,15103.57,103.57,1.380933,1.965328,0.830487,0.831751,103.38999999999942,0.8210,75,50,1.75
20,15103.17,103.17,1.453099,1.967551,0.827279,0.830778,103.38999999999942,0.8210,71,50,2.00
34,15099.83,99.83,1.610161,1.955677,0.800497,0.836130,103.38999999999942,0.8212,62,50,2.50
46,15096.94,96.94,2.769714,7.096855,2.345512,3.534623,39.819999999999709,0.2750,35,40,3.00
7,15090.51,90.51,1.103780,1.941635,0.724370,0.882957,104.27999999999884,0.8233,82,20,1.75
0,15090.11,90.11,1.072738,1.933589,0.721168,0.879041,104.28000000000065,0.8233,84,20,1.50
9,15082.81,82.81,0.920111,1.518178,0.604850,0.451243,141.63999999999942,0.9046,90,30,1.75
2,15082.38,82.38,0.895435,1.514104,0.601709,0.448892,141.63999999999942,0.9046,92,30,1.50
41,15081.71,81.71,1.433509,1.777006,0.655200,0.698800,103.38999999999942,0.8222,57,50,2.75
1,15075.75,75.75,0.841667,1.526554,0.500926,0.438062,157.31000000000131,0.9997,90,25,1.50
8,15073.66,73.66,0.827640,1.512026,0.487105,0.426534,157.31000000000131,0.9998,89,25,1.75
48,15037.30,37.30,0.888095,1.498596,0.299094,0.429851,103.38999999999942,0.8246,42,50,3.00
