Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
1,15250.21,250.21,2.606354,3.089436,0.686391,0.984327,370.13000000000102,2.4096,96,25,1.50
8,15243.61,243.61,2.706778,3.168506,0.667845,1.017038,370.1299999999992,2.4114,90,25,1.75
6,15217.65,217.65,2.654268,3.480059,1.413863,1.472469,152.38999999999942,1.0194,82,50,1.50
15,15196.68,196.68,2.398537,2.783299,0.533254,0.850332,370.1299999999992,2.4452,82,25,2.00
13,15184.62,184.62,2.461600,3.658698,1.960497,1.882076,94.1299999999992,0.6278,75,50,1.75
0,15178.26,178.26,2.147711,4.008608,1.908974,2.468228,94.130000000001019,0.6223,83,20,1.50
2,15178.17,178.17,2.199630,3.260180,1.892004,1.974507,94.1299999999992,0.6278,81,30,1.50
7,15174.27,174.27,2.205949,4.097032,1.866245,2.485217,94.130000000001019,0.6223,79,20,1.75
12,15168.64,168.64,2.218947,3.266362,1.146587,1.354955,145.48999999999978,0.9754,76,45,1.75
5,15166.85,166.85,2.139103,3.000839,1.134417,1.305037,145.48999999999978,0.9755,78,45,1.50
20,15166.29,166.29,2.639524,3.803270,1.765849,2.108203,94.1299999999992,0.6278,63,50,2.00
4,15164.70,164.70,1.984337,2.893756,1.748965,1.474139,94.1299999999992,0.6278,83,40,1.50
11,15163.79,163.79,2.047375,2.894621,1.739301,1.469359,94.1299999999992,0.6278,80,40,1.75
19,15162.27,162.27,2.458636,3.296490,1.103277,1.372341,145.48999999999978,0.9757,66,45,2.00
3,15159.44,159.44,1.920964,2.977428,1.693108,1.765147,94.1299999999992,0.6278,83,35,1.50
22,15158.91,158.91,2.176849,2.713131,0.701651,1.094941,225.59999999999854,1.5015,73,25,2.25
10,15155.42,155.42,1.992564,3.114270,1.650419,1.839095,94.1299999999992,0.6278,78,35,1.75
18,15155.39,155.39,2.252029,3.099581,1.650101,1.539734,94.1299999999992,0.6278,69,40,2.00
34,15148.36,148.36,2.967200,4.461503,1.575449,2.259890,94.1299999999992,0.6278,50,50,2.50
25,15147.01,147.01,2.333492,2.995521,1.561113,1.461163,94.1299999999992,0.6278,63,40,2.25
27,15143.22,143.22,2.702264,3.416807,1.520867,1.895685,94.1299999999992,0.6278,53,50,2.25
9,15136.18,136.18,1.865479,2.885366,1.446108,1.973007,94.1299999999992,0.6278,73,30,1.75
14,15131.34,131.34,1.799178,3.334103,1.406511,2.098719,94.130000000001019,0.6223,73,20,2.00
17,15129.50,129.50,1.876812,2.985892,1.375173,1.870623,94.1299999999992,0.6278,69,35,2.00
21,15129.06,129.06,1.843714,3.300535,1.382095,2.067558,94.130000000001019,0.6223,70,20,2.25
24,15127.21,127.21,2.051774,3.295381,1.350855,1.927013,94.1299999999992,0.6278,62,35,2.25
32,15123.60,123.60,2.247273,3.113905,1.312520,1.819639,94.1299999999992,0.6278,55,40,2.50
41,15123.59,123.59,2.942619,3.921749,1.312414,2.015139,94.1299999999992,0.6278,42,50,2.75
28,15120.22,120.22,1.878437,3.147169,1.287428,1.994533,94.130000000001019,0.6223,64,20,2.50
31,15119.94,119.94,2.221111,3.183109,1.273654,1.970447,94.1299999999992,0.6278,54,35,2.50
29,15119.24,119.24,2.129286,3.366343,1.266221,2.168474,94.1299999999992,0.6278,56,25,2.50
26,15117.73,117.73,2.065439,3.249331,1.250186,1.805852,94.1299999999992,0.6278,57,45,2.25
16,15115.51,115.51,1.750152,2.668737,1.226611,1.692998,94.1299999999992,0.6278,66,30,2.00
33,15114.69,114.69,2.293800,3.306718,1.217904,1.847345,94.1299999999992,0.6278,50,45,2.50
23,15111.91,111.91,1.834590,2.632055,1.188383,1.661368,94.1299999999992,0.6278,61,30,2.25
30,15106.82,106.82,1.978148,2.860976,1.134332,1.765478,94.1299999999992,0.6278,54,30,2.50
35,15102.75,102.75,1.868182,3.043556,1.100343,1.884186,94.130000000001019,0.6223,55,20,2.75
38,15098.84,98.84,2.196444,2.809594,1.049591,1.695085,94.1299999999992,0.6278,45,35,2.75
39,15095.53,95.53,2.171136,2.641973,1.014442,1.554160,94.1299999999992,0.6278,44,40,2.75
36,15094.93,94.93,1.937347,2.562119,1.008071,1.640462,94.1299999999992,0.6278,49,25,2.75
46,15092.89,92.89,2.814848,12.411548,2.231324,2.923310,40.190000000000509,0.2766,33,40,3.00
40,15091.33,91.33,2.227561,2.851784,0.969842,1.666439,94.1299999999992,0.6278,41,45,2.75
42,15089.72,89.72,1.831020,2.787607,0.960805,1.686809,94.130000000001019,0.6223,49,20,3.00
37,15086.87,86.87,1.888478,2.517115,0.922481,1.492614,94.1299999999992,0.6278,46,30,2.75
45,15086.77,86.77,2.283421,2.776254,0.921419,1.581782,94.1299999999992,0.6278,38,35,3.00
43,15084.61,84.61,2.014524,2.696951,0.898481,1.593128,94.1299999999992,0.6278,42,25,3.00
47,15083.03,83.03,2.678387,16.967308,2.560284,3.332518,16.289999999999054,0.2156,31,45,3.00
48,15076.13,76.13,2.928077,31.452000,2.348242,3.360223,17.180000000000291,0.2154,26,50,3.00
44,15066.49,66.49,1.797027,2.297872,0.706064,1.300719,94.1299999999992,0.6278,37,30,3.00
