Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
2,15256.57,256.57,2.850778,2.886405,2.112731,1.526649,123.40000000000146,0.8094,90,30,1.50
3,15233.46,233.46,2.652955,2.739772,1.922431,1.459706,123.40000000000146,0.8094,88,35,1.50
10,15231.48,231.48,2.723294,2.725017,1.906126,1.453857,123.40000000000146,0.8094,85,35,1.75
9,15223.95,223.95,2.698193,2.707977,1.844121,1.400492,123.40000000000146,0.8094,83,30,1.75
17,15218.70,218.70,2.733750,2.631724,1.800889,1.401246,123.40000000000146,0.8094,80,35,2.00
16,15216.41,216.41,2.671728,2.650473,1.782032,1.370515,123.40000000000146,0.8094,81,30,2.00
24,15215.38,215.38,2.871733,2.727324,1.727462,1.403782,123.39999999999964,0.8310,75,35,2.25
23,15210.58,210.58,2.770789,2.606010,1.734025,1.361419,123.40000000000146,0.8094,76,30,2.25
15,15201.61,201.61,2.458659,2.639106,1.660161,1.323104,123.40000000000146,0.8094,82,25,2.00
31,15192.24,192.24,3.051429,3.323985,1.581832,1.726280,120.21999999999935,0.8100,63,35,2.50
30,15188.75,188.75,2.859848,2.519237,1.513876,1.265957,123.39999999999964,0.8310,66,30,2.50
22,15182.86,182.86,2.471081,2.494198,1.505764,1.244379,123.40000000000146,0.8094,74,25,2.25
5,15182.34,182.34,2.120233,1.407063,0.151825,0.251112,1201.7900000000009,7.9638,86,45,1.50
37,15180.11,180.11,3.052712,2.510863,1.444578,1.242098,123.39999999999964,0.8310,59,30,2.75
26,15164.24,164.24,2.881404,2.677116,1.039231,1.356484,158.71999999999935,1.0533,57,45,2.25
29,15159.30,159.30,2.450769,2.302322,1.277671,1.129110,123.39999999999964,0.8310,65,25,2.50
25,15158.78,158.78,2.785614,2.954456,1.312882,1.446134,123.40000000000146,0.8061,57,40,2.25
33,15154.01,154.01,2.905849,2.574583,0.974500,1.315586,158.71999999999935,1.0533,53,45,2.50
36,15153.43,153.43,2.600508,2.308125,1.262487,1.127534,120.21999999999935,0.8100,59,25,2.75
4,15150.74,150.74,1.638478,1.322756,0.125429,0.203312,1204.4500000000007,7.9745,92,40,1.50
19,15150.56,150.56,2.062466,1.349392,0.125363,0.214002,1201.7899999999991,7.9616,73,45,2.00
12,15150.32,150.32,1.902785,1.339491,0.125163,0.211233,1201.7899999999991,7.9662,79,45,1.75
38,15148.57,148.57,2.971400,2.982784,1.222497,1.532953,120.21999999999935,0.8100,50,35,2.75
40,15146.43,146.43,3.050625,2.696559,0.945381,1.356892,155.54000000000087,1.0323,48,45,2.75
11,15145.60,145.60,1.673563,1.311831,0.121009,0.193453,1204.4500000000007,7.9849,87,40,1.75
32,15143.99,143.99,2.769038,2.823351,1.222430,1.417959,120.22000000000116,0.7851,52,40,2.50
45,15135.97,135.97,3.237381,2.954153,1.118818,1.551067,120.21999999999935,0.8100,42,35,3.00
18,15131.49,131.49,1.643625,1.282701,0.109219,0.177898,1204.4500000000007,7.9918,80,40,2.00
6,15130.07,130.07,1.478068,1.168587,0.060424,0.093375,2157.3299999999999,14.2497,88,50,1.50
44,15127.08,127.08,3.177000,2.824813,1.045668,1.493581,120.21999999999935,0.8100,40,30,3.00
39,15124.94,124.94,3.123500,10.566616,4.844513,4.984996,18.909999999999854,0.1715,40,40,2.75
13,15124.60,124.60,1.483333,1.161527,0.057883,0.089751,2157.3299999999999,14.2543,84,50,1.75
48,15120.06,120.06,4.140000,6.934750,2.484685,3.883252,43.219999999999345,0.3214,29,50,3.00
47,15111.84,111.84,3.389091,6.482353,2.314570,3.548599,43.220000000001164,0.3213,33,45,3.00
20,15105.59,105.59,1.336582,1.136883,0.049052,0.077291,2157.3299999999999,14.2629,79,50,2.00
46,15102.79,102.79,3.023235,8.870597,3.985653,4.694815,18.909999999999854,0.1715,34,40,3.00
43,15098.12,98.12,2.803429,2.547390,0.792377,1.225570,120.21999999999935,0.8253,35,25,3.00
27,15073.21,73.21,1.092687,1.103916,0.034010,0.058961,2157.3299999999999,14.2853,67,50,2.25
14,15054.05,54.05,0.568947,1.069305,0.025158,0.039281,2157.3299999999999,14.2543,95,20,2.00
21,15053.50,53.50,0.581522,1.068611,0.024902,0.039135,2157.3299999999999,14.2545,92,20,2.25
28,15048.86,48.86,0.568140,1.062672,0.022743,0.035938,2157.3299999999999,14.2547,86,20,2.50
34,15032.78,32.78,0.555593,1.046537,0.015228,0.027657,2157.3299999999999,14.2974,59,50,2.50
41,15032.02,32.02,0.582182,1.045710,0.014875,0.027919,2157.3299999999999,14.2997,55,50,2.75
35,14986.98,-13.02,-0.194328,0.982298,-0.006044,-0.010906,2157.3299999999999,14.2997,67,20,2.75
42,14965.00,-35.00,-0.660377,0.947450,-0.016252,-0.033100,2157.3299999999999,14.3042,53,20,3.00
7,75.16,-14924.84,-130.919649,0.050318,-0.995968,-3.161968,14939.16,99.5009,114,20,1.75
0,75.16,-14924.84,-130.919649,0.050318,-0.995968,-3.161968,14939.16,99.5009,114,20,1.50
1,74.30,-14925.70,-153.873196,0.014406,-0.996396,-3.392337,15061.58,99.5064,97,25,1.50
8,59.81,-14940.19,-158.938191,0.013154,-0.996617,-3.427869,15061.58,99.6026,94,25,1.75
