Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
16,15305.04,305.04,3.910769,6.766352,3.959502,3.838454,81.840000000000146,0.5080,78,30,2.00
23,15286.20,286.20,4.088571,7.602076,3.714953,3.783162,81.840000000000146,0.5085,70,30,2.25
10,15257.69,257.69,3.390658,4.897897,3.280586,3.492012,71.909999999999854,0.5225,76,35,1.75
11,15251.14,251.14,3.261558,5.564522,5.630942,3.963471,40.139999999999418,0.2965,77,40,1.75
5,15248.51,248.51,3.145696,6.410625,4.399186,3.603018,49.159999999999854,0.3757,79,45,1.50
17,15236.33,236.33,3.692656,5.770488,3.008657,3.932035,71.909999999999854,0.5226,64,35,2.00
20,15228.27,228.27,3.511846,7.075858,3.989339,3.286842,49.159999999999854,0.3801,65,50,2.00
24,15223.14,223.14,3.782034,5.856148,2.840738,3.956793,71.909999999999854,0.5226,59,35,2.25
30,15222.86,222.86,3.777288,6.158796,2.629617,3.476500,81.840000000000146,0.5613,59,30,2.50
12,15222.76,222.76,3.137465,6.269931,3.523568,3.478220,49.159999999999854,0.4204,71,45,1.75
19,15215.73,215.73,3.268636,6.126663,3.412370,3.437271,49.159999999999854,0.4203,66,45,2.00
36,15212.51,212.51,4.250200,18.873003,4.855152,5.023657,38.149999999999636,0.2903,50,25,2.75
18,15212.32,212.32,3.370159,6.521977,6.131100,4.252006,36.779999999998836,0.2281,63,40,2.00
27,15206.17,206.17,4.123400,10.345875,3.603111,3.663838,49.160000000001673,0.3802,50,50,2.25
25,15201.17,201.17,3.795660,6.487452,5.809125,4.321358,36.779999999998836,0.2282,53,40,2.25
32,15200.45,200.45,3.930392,6.467812,5.788334,4.421005,36.780000000000655,0.2282,51,40,2.50
31,15195.21,195.21,3.683208,5.248313,2.485169,3.672233,71.909999999999854,0.5224,53,35,2.50
37,15184.55,184.55,3.926596,7.679334,2.177581,3.572479,81.839999999998327,0.5615,47,30,2.75
35,15183.71,183.71,3.340182,5.484013,2.338765,3.290208,71.909999999999854,0.5223,55,20,2.75
26,15183.33,183.33,3.525577,5.675593,2.899873,3.387182,49.159999999999854,0.4203,52,45,2.25
38,15181.85,181.85,3.711224,4.957563,2.315086,3.581879,71.909999999999854,0.5224,49,35,2.75
22,15180.01,180.01,2.142976,1.308052,0.106400,0.188745,1728.7199999999993,11.1427,84,25,2.25
43,15176.48,176.48,4.201905,29.883797,5.611447,6.376552,31.630000000001019,0.2095,42,25,3.00
34,15175.53,175.53,4.082093,8.956936,3.067634,3.329917,49.159999999999854,0.3804,43,50,2.50
39,15175.19,175.19,4.171190,7.276962,4.851565,4.400322,36.780000000000655,0.2384,42,40,2.75
44,15164.61,164.61,4.331842,23.125000,5.234022,6.801353,31.630000000001019,0.2095,38,30,3.00
45,15162.79,162.79,4.399730,21.298005,5.176153,5.918293,31.630000000001019,0.2094,37,35,3.00
46,15159.96,159.96,5.160000,118.617647,5.086169,6.694492,31.630000000001019,0.2093,31,40,3.00
42,15159.75,159.75,3.550000,9.772652,3.165874,4.011482,49.159999999999854,0.3358,45,20,3.00
2,15159.66,159.66,1.580792,1.268580,0.094038,0.166564,1728.7199999999993,11.1310,101,30,1.50
29,15157.72,157.72,2.048312,1.269907,0.092757,0.168649,1728.7199999999993,11.2080,77,25,2.50
9,15157.20,157.20,1.690323,1.271803,0.092528,0.169355,1728.7200000000012,11.1392,93,30,1.75
41,15156.05,156.05,4.217568,17.289144,2.733403,3.204782,49.159999999999854,0.3799,37,50,2.75
33,15150.76,150.76,3.426364,4.884566,2.384688,3.025427,49.160000000001673,0.4205,44,45,2.50
3,15135.46,135.46,1.396495,1.229395,0.078692,0.140772,1742.7700000000004,11.3166,97,35,1.50
40,15134.37,134.37,3.839143,6.162121,2.131842,3.011926,49.159999999999854,0.4193,35,45,2.75
48,15126.11,126.11,4.850385,66.005155,4.021365,3.599949,31.6299999999992,0.2091,26,50,3.00
1,15123.54,123.54,1.211176,1.212465,0.073058,0.129451,1728.7200000000012,11.1197,102,25,1.50
8,15118.23,118.23,1.244526,1.207665,0.069855,0.127216,1728.7199999999993,11.1324,95,25,1.75
15,15108.73,108.73,1.235568,1.191615,0.064249,0.116989,1728.7199999999993,11.1382,88,25,2.00
47,15107.62,107.62,4.139231,19.880702,3.245476,3.268310,31.630000000001019,0.2210,26,45,3.00
4,15103.78,103.78,1.104043,1.175112,0.060677,0.108611,1728.7200000000012,11.2461,94,40,1.50
6,15094.70,94.70,1.101163,1.167474,0.055509,0.097625,1728.7200000000012,11.2253,86,50,1.50
0,15086.59,86.59,0.892680,1.148131,0.050685,0.093272,1728.7200000000012,11.2366,97,20,1.50
7,15078.85,78.85,0.885955,1.135151,0.046128,0.085905,1728.7199999999993,11.2481,89,20,1.75
14,15072.18,72.18,0.849176,1.123736,0.042218,0.078944,1728.7199999999993,11.2549,85,20,2.00
13,15071.74,71.74,0.896750,1.126870,0.041750,0.074025,1728.7200000000012,11.3122,80,50,1.75
21,15063.36,63.36,0.792000,1.108644,0.037059,0.069335,1728.7199999999993,11.2615,80,20,2.25
28,15053.52,53.52,0.733151,1.094114,0.031328,0.061817,1728.7199999999993,11.2598,73,20,2.50
