Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
2,15303.83,303.83,2.712768,2.737462,1.245869,0.846421,253.4900000000016,1.6109,112,30,1.50
9,15296.15,296.15,2.767757,2.722503,1.214377,0.857079,249.42000000000007,1.6110,107,30,1.75
16,15295.70,295.70,2.843269,2.734413,1.212531,0.864998,249.42000000000007,1.6113,104,30,2.00
23,15288.90,288.90,3.140217,2.832424,1.160194,0.887969,249.42000000000007,1.6449,92,30,2.25
5,15287.54,287.54,2.964330,4.047912,2.230548,2.043153,127.43000000000029,0.8474,97,45,1.50
6,15279.81,279.81,3.008710,4.344209,2.170584,2.068918,127.43000000000029,0.8471,93,50,1.50
4,15276.64,276.64,2.766400,3.602691,2.136711,1.694002,127.42999999999847,0.8504,100,40,1.50
0,15272.35,272.35,2.569340,2.497745,1.217261,0.973088,224.73999999999978,1.4802,106,20,1.50
13,15270.09,270.09,3.034719,4.228811,2.095183,2.051152,127.43000000000029,0.8477,89,50,1.75
11,15269.40,269.40,2.806250,3.537918,2.080791,1.669973,127.43000000000029,0.8508,96,40,1.75
30,15267.37,267.37,3.221325,2.701910,1.073732,0.844283,249.42000000000007,1.6474,83,30,2.50
7,15265.50,265.50,2.577670,2.508951,1.186645,0.961417,224.73999999999978,1.4809,103,20,1.75
12,15265.32,265.32,2.981124,3.831590,2.058180,1.963735,127.43000000000029,0.8481,89,45,1.75
20,15264.19,264.19,3.387051,5.075748,2.049414,2.164199,127.43000000000029,0.8480,78,50,2.00
14,15264.07,264.07,2.640700,2.501934,1.180254,0.957265,224.73999999999978,1.4810,100,20,2.00
1,15257.13,257.13,2.448857,2.701496,1.149236,0.943961,224.7400000000016,1.4809,105,25,1.50
18,15253.61,253.61,2.915057,3.818828,1.958832,1.722672,127.43000000000029,0.8517,87,40,2.00
27,15253.32,253.32,3.518333,4.951334,1.965092,2.076842,127.43000000000029,0.8483,72,50,2.25
15,15252.92,252.92,2.554747,2.676077,1.130419,0.970665,224.73999999999978,1.4809,99,25,2.00
8,15250.95,250.95,2.534848,2.663022,1.121614,0.962518,224.73999999999978,1.4809,99,25,1.75
19,15247.62,247.62,3.057037,4.045007,1.920875,2.029863,127.43000000000029,0.8491,81,45,2.00
21,15244.84,244.84,2.632688,2.521501,1.094306,0.951604,224.73999999999978,1.4824,93,20,2.25
22,15243.48,243.48,2.735730,2.616196,1.085075,0.947162,224.73999999999978,1.4856,89,25,2.25
3,15242.40,242.40,2.851765,3.717793,1.922436,1.896855,127.43000000000029,0.8304,85,35,1.50
25,15240.19,240.19,3.002375,3.692713,1.863238,1.670629,127.43000000000029,0.8487,80,40,2.25
10,15239.22,239.22,2.882169,3.686356,1.897216,1.889239,127.43000000000029,0.8306,83,35,1.75
26,15239.13,239.13,3.188400,4.031951,1.855015,1.951716,127.43000000000029,0.8494,75,45,2.25
28,15239.02,239.02,2.845476,2.491544,1.065199,0.933817,224.73999999999978,1.4868,84,20,2.50
29,15226.34,226.34,2.760244,2.638127,1.008690,0.932827,224.73999999999978,1.4873,82,25,2.50
17,15222.29,222.29,2.963867,3.894778,1.762947,1.985138,127.43000000000029,0.8315,75,35,2.00
33,15220.41,220.41,3.390923,3.809202,1.726404,1.878456,127.43000000000029,0.8418,65,45,2.50
36,15215.23,215.23,2.989306,2.590526,0.959178,0.922567,224.73999999999978,1.4878,72,25,2.75
32,15214.07,214.07,3.015070,3.461423,1.660616,1.554707,127.42999999999847,0.8501,71,40,2.50
24,15211.68,211.68,3.067826,3.756609,1.658934,1.908335,127.42999999999847,0.8419,69,35,2.25
41,15206.19,206.19,3.965192,5.061257,1.616289,2.068620,127.43000000000029,0.8421,52,50,2.75
34,15205.12,205.12,3.729455,4.762979,1.607902,2.037437,127.43000000000029,0.8422,55,50,2.50
48,15197.11,197.11,4.285000,5.653211,1.545112,2.153573,127.43000000000029,0.8426,46,50,3.00
39,15195.02,195.02,3.145484,3.525839,1.512838,1.668310,127.43000000000029,0.8512,62,40,2.75
37,15194.20,194.20,3.082540,3.502577,1.521109,1.570480,127.43000000000029,0.8435,63,30,2.75
44,15189.21,189.21,3.262241,3.474951,1.482024,1.576130,127.43000000000029,0.8436,58,30,3.00
38,15189.00,189.00,3.203390,3.609776,1.480379,1.825479,127.43000000000029,0.8436,59,35,2.75
31,15188.03,188.03,3.133833,3.521862,1.472781,1.805089,127.43000000000029,0.8436,60,35,2.50
40,15183.34,183.34,3.395185,3.660186,1.436046,1.849242,127.43000000000029,0.8439,54,45,2.75
46,15175.03,175.03,3.500600,4.065861,1.370956,1.731537,127.43000000000029,0.8442,50,40,3.00
47,15172.82,172.82,3.756957,4.178591,1.353646,1.910323,127.43000000000029,0.8447,46,45,3.00
42,15152.94,152.94,2.427619,2.121754,0.676426,0.695394,224.73999999999978,1.5015,63,20,3.00
35,15152.35,152.35,2.308333,2.100715,0.673817,0.691540,224.73999999999978,1.5015,66,20,2.75
45,15149.57,149.57,3.116042,3.493665,1.171536,1.765513,127.43000000000029,0.8456,48,35,3.00
43,15108.18,108.18,2.207755,3.828975,3.565590,3.060166,32.920000000000073,0.2012,49,25,3.00
