Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
13,15249.75,249.75,3.045732,3.149312,1.229993,1.277137,199.09999999999854,1.3399,82,50,1.75
20,15245.03,245.03,3.267067,3.135710,1.206747,1.296789,199.10000000000036,1.3403,75,50,2.00
27,15239.22,239.22,3.466957,3.418073,1.162786,1.299603,199.10000000000036,1.3579,69,50,2.25
6,15235.28,235.28,2.869268,3.023218,1.158216,1.216809,199.10000000000036,1.3418,82,50,1.50
5,15232.84,232.84,2.587111,2.609345,1.159446,1.131130,199.10000000000036,1.3263,90,45,1.50
12,15229.64,229.64,2.609545,2.591186,1.143512,1.126536,199.09999999999854,1.3266,88,45,1.75
19,15225.13,225.13,2.849747,2.603490,1.121054,1.145752,199.10000000000036,1.3272,79,45,2.00
34,15222.24,222.24,3.766780,3.424348,1.106663,1.282906,199.10000000000036,1.3264,59,50,2.50
26,15220.00,220.00,3.098592,2.612312,1.095508,1.151888,199.10000000000036,1.3274,71,45,2.25
9,15215.34,215.34,2.475172,2.879878,1.078156,1.350838,199.09999999999854,1.3209,87,30,1.75
2,15213.96,213.96,2.404045,2.845596,1.071246,1.338829,199.10000000000036,1.3211,89,30,1.50
16,15207.56,207.56,2.627342,2.933669,1.039203,1.375619,199.10000000000036,1.3216,79,30,2.00
3,15207.19,207.19,2.302111,3.013900,1.035536,1.403060,199.10000000000036,1.3229,90,35,1.50
17,15205.60,205.60,2.705263,3.035039,1.023802,1.395508,199.09999999999854,1.3278,76,35,2.00
10,15203.15,203.15,2.447590,3.006024,1.010998,1.379147,199.09999999999854,1.3288,83,35,1.75
40,15202.80,202.80,3.380000,2.489096,1.009860,1.083397,199.10000000000036,1.3288,60,45,2.75
24,15201.06,201.06,2.913913,3.034197,1.001195,1.400617,199.10000000000036,1.3283,69,35,2.25
33,15197.51,197.51,3.086094,2.448764,0.983518,1.048660,199.10000000000036,1.3294,64,45,2.50
1,15196.04,196.04,2.253333,2.325132,0.628333,0.988712,313.51000000000022,2.0646,87,25,1.50
4,15192.02,192.02,2.400250,2.861380,0.956180,1.330489,199.10000000000036,1.3292,80,40,1.50
31,15191.36,191.36,3.137049,2.982184,0.952893,1.428600,199.10000000000036,1.3291,61,35,2.50
41,15189.58,189.58,4.308636,4.046441,0.944029,1.358842,199.10000000000036,1.3292,44,50,2.75
23,15187.66,187.66,2.800896,2.820704,0.939568,1.344814,199.09999999999854,1.3222,67,30,2.25
11,15187.62,187.62,2.436623,2.814682,0.934269,1.324173,199.10000000000036,1.3295,77,40,1.75
8,15186.79,186.79,2.250482,2.297603,0.598686,0.972167,313.51000000000022,2.0659,83,25,1.75
38,15181.35,181.35,3.555882,3.701877,0.903048,1.742621,199.10000000000036,1.3300,51,35,2.75
18,15180.57,180.57,2.616957,2.775691,0.899163,1.325792,199.10000000000036,1.3303,69,40,2.00
30,15178.08,178.08,2.968000,2.776182,0.891604,1.320682,199.09999999999854,1.3230,60,30,2.50
15,15177.77,177.77,2.370267,2.253402,0.569776,0.962474,313.51000000000022,2.0666,75,25,2.00
47,15175.87,175.87,3.997045,2.982751,0.875759,1.199343,199.09999999999854,1.3300,44,45,3.00
29,15174.88,174.88,3.179636,2.787773,0.875582,1.351522,199.10000000000036,1.3245,55,25,2.50
25,15174.25,174.25,2.810484,2.750201,0.867692,1.329523,199.10000000000036,1.3309,62,40,2.25
37,15172.40,172.40,3.134545,2.725898,0.863165,1.305267,199.10000000000036,1.3235,55,30,2.75
48,15170.22,170.22,4.479474,3.746370,0.847625,1.283490,199.10000000000036,1.3309,38,50,3.00
32,15169.35,169.35,3.024107,2.709570,0.843293,1.309855,199.10000000000036,1.3314,56,40,2.50
0,15168.07,168.07,1.888427,2.080211,0.542266,0.877852,313.51000000000022,2.0533,89,20,1.50
45,15167.85,167.85,3.996429,3.526340,0.835823,1.759788,199.10000000000036,1.3312,42,35,3.00
7,15163.40,163.40,1.945238,2.052971,0.527199,0.855992,313.51000000000022,2.0536,84,20,1.75
14,15162.77,162.77,1.985000,2.051078,0.525166,0.854603,313.51000000000022,2.0537,82,20,2.00
22,15162.04,162.04,2.613548,2.229532,0.519359,0.961774,313.51000000000022,2.0688,62,25,2.25
36,15160.20,160.20,3.204000,2.646116,0.802083,1.311251,199.10000000000036,1.3246,50,25,2.75
39,15157.92,157.92,3.433043,3.265060,0.786376,1.609244,199.10000000000036,1.3322,46,40,2.75
21,15156.54,156.54,2.059737,2.010849,0.499394,0.834929,313.51000000000022,2.0771,76,20,2.25
46,15149.58,149.58,3.648293,3.160000,0.744846,1.567088,199.10000000000036,1.3329,41,40,3.00
44,15147.21,147.21,3.774615,3.829329,0.737045,1.575018,199.10000000000036,1.3245,39,30,3.00
28,15145.81,145.81,2.176269,1.993595,0.465163,0.831924,313.51000000000022,2.0785,67,20,2.50
43,15137.93,137.93,3.940857,3.769679,0.690582,1.606207,199.09999999999854,1.3254,35,25,3.00
35,15123.71,123.71,2.524694,2.249596,0.394660,0.903669,313.5099999999984,2.0796,49,20,2.75
42,15109.93,109.93,2.617381,2.231157,0.350699,0.860390,313.51000000000022,2.0815,42,20,3.00
