Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpBBPeriod,InpBBDeviation
5,15423.27,423.27,4.755843,3.660068,2.192314,2.077910,181.95999999999913,1.2774,89,45,1.50
3,15411.18,411.18,3.916000,2.578487,1.833170,1.293419,208.38999999999942,1.4837,105,35,1.50
27,15409.06,409.06,5.527838,3.330162,2.154648,1.905852,181.95999999999913,1.2631,74,50,2.25
4,15406.09,406.09,4.143776,3.518544,2.103330,2.038791,181.95999999999913,1.2770,98,40,1.50
12,15405.36,405.36,4.825714,3.547511,2.099549,2.005738,181.96000000000095,1.2777,84,45,1.75
6,15404.23,404.23,4.442088,2.966290,2.129207,1.805726,181.95999999999913,1.2631,91,50,1.50
1,15403.63,403.63,4.204479,3.216773,1.518091,1.657895,261.46000000000095,1.7692,96,25,1.50
13,15403.01,403.01,4.528202,2.968784,2.122781,1.805600,181.95999999999913,1.2631,89,50,1.75
8,15401.18,401.18,4.267872,3.205134,1.508876,1.652985,261.46000000000095,1.7692,94,25,1.75
19,15398.49,398.49,5.175195,3.544311,2.067071,2.032590,181.96000000000095,1.2758,77,45,2.00
26,15397.03,397.03,5.293733,3.537581,2.059498,2.027784,181.96000000000095,1.2758,75,45,2.25
20,15395.93,395.93,4.949125,3.002580,2.085489,1.802954,181.95999999999913,1.2631,80,50,2.00
11,15394.76,394.76,4.435506,3.592330,2.046131,2.022500,181.96000000000095,1.2764,89,40,1.75
15,15388.83,388.83,4.521279,3.255394,1.444605,1.637011,261.45999999999913,1.7910,86,25,2.00
10,15385.14,385.14,4.141290,2.510116,1.708999,1.238768,208.38999999999942,1.4908,93,35,1.75
18,15374.74,374.74,4.804359,3.674995,1.943874,2.006026,181.95999999999913,1.2758,78,40,2.00
17,15370.54,370.54,4.308605,2.498342,1.642537,1.218116,208.38999999999942,1.4923,86,35,2.00
34,15364.11,364.11,5.689219,3.459040,1.917883,1.874562,181.95999999999913,1.2631,64,50,2.50
24,15362.14,362.14,4.584051,2.522236,1.644222,1.217816,208.39000000000124,1.4385,79,35,2.25
25,15361.81,361.81,4.956301,3.585650,1.876803,1.951010,181.95999999999913,1.2758,73,40,2.25
2,15356.98,356.98,3.569800,2.903487,1.596297,1.767663,187.6299999999992,1.4789,100,30,1.50
33,15351.83,351.83,5.584603,3.535712,1.767102,1.960786,181.96000000000095,1.3176,63,45,2.50
41,15345.33,345.33,6.058421,3.446373,1.818962,1.868334,181.96000000000095,1.2634,57,50,2.75
32,15344.92,344.92,5.072353,3.535244,1.732396,1.934207,181.95999999999913,1.3176,68,40,2.50
22,15336.58,336.58,4.371169,3.061746,1.250483,1.652812,261.46000000000095,1.7915,77,25,2.25
9,15324.21,324.21,3.769884,2.918062,1.470140,1.709471,187.6299999999992,1.4584,86,30,1.75
31,15321.93,321.93,4.665652,2.459338,1.461657,1.164415,208.38999999999942,1.4423,69,35,2.50
16,15320.21,320.21,4.002625,2.996197,1.464219,1.754892,187.6299999999992,1.4466,80,30,2.00
38,15311.38,311.38,5.022258,2.466491,1.413757,1.204257,208.39000000000124,1.4433,62,35,2.75
40,15309.40,309.40,5.950000,3.723112,1.553993,1.927300,181.96000000000095,1.3184,52,45,2.75
48,15307.98,307.98,6.285306,3.543818,1.622228,1.864875,181.96000000000095,1.2634,49,50,3.00
39,15305.93,305.93,5.562364,3.534841,1.536565,1.863433,181.96000000000095,1.3184,55,40,2.75
47,15305.90,305.90,6.118000,3.692308,1.536414,1.911267,181.96000000000095,1.3184,50,45,3.00
23,15301.31,301.31,4.127534,2.870561,1.370214,1.655185,187.63000000000102,1.4550,73,30,2.25
30,15295.80,295.80,4.481818,2.998379,1.513121,1.772422,187.63000000000102,1.3009,66,30,2.50
7,15291.82,291.82,3.039792,2.971357,1.097563,1.613529,261.45999999999913,1.7695,96,20,1.75
45,15291.50,291.50,5.300000,2.394003,1.323496,1.138774,208.38999999999942,1.4448,55,35,3.00
46,15291.02,291.02,5.820400,3.662093,1.461678,1.858911,181.96000000000095,1.3184,50,40,3.00
29,15289.45,289.45,4.194928,2.897659,1.075383,1.552085,261.46000000000095,1.7915,69,25,2.50
0,15272.01,272.01,2.747576,2.596865,1.023056,1.485244,261.45999999999913,1.7695,99,20,1.50
36,15271.83,271.83,4.607288,2.888758,1.009920,1.598421,261.46000000000095,1.7915,59,25,2.75
14,15270.39,270.39,3.181059,2.900007,1.016963,1.558464,261.45999999999913,1.7695,85,20,2.00
37,15268.44,268.44,4.971111,2.963860,1.364024,1.807755,187.63000000000102,1.3026,54,30,2.75
21,15267.13,267.13,3.381392,2.884914,0.992458,1.550414,261.45999999999913,1.7915,79,20,2.25
43,15240.34,240.34,5.007083,2.872828,0.892926,1.572629,261.45999999999913,1.7918,48,25,3.00
44,15238.73,238.73,5.189783,2.941842,1.213059,1.746878,187.63000000000102,1.3026,46,30,3.00
28,15230.78,230.78,3.444478,2.757654,0.857408,1.432255,261.45999999999913,1.7915,67,20,2.50
35,15217.54,217.54,3.399063,2.656816,0.808218,1.394587,261.45999999999913,1.7915,64,20,2.75
42,15193.33,193.33,3.515091,2.671537,0.718272,1.369341,261.45999999999913,1.7915,55,20,3.00
