time,balance,equity,floating_profit
2026.03.01 00:00:00,15000.00,15000.00,0.00
2026.03.02 00:05:00,15000.00,15000.00,0.00
2026.03.02 04:00:00,15000.00,15000.00,0.00
2026.03.02 08:00:00,15000.00,15000.00,0.00
2026.03.02 12:00:00,15000.00,15000.00,0.00
2026.03.02 16:00:00,15000.00,14999.87,-0.13
2026.03.02 20:00:00,15000.00,15001.20,1.20
2026.03.03 00:05:20,15001.20,15001.20,0.00
2026.03.03 04:00:00,15001.20,15001.20,0.00
2026.03.03 08:00:00,15001.20,15001.20,0.00
2026.03.03 12:00:00,15001.20,15001.20,0.00
2026.03.03 16:00:00,15001.20,15001.20,0.00
2026.03.03 20:00:00,15001.20,15001.20,0.00
2026.03.04 00:05:00,15001.20,15001.20,0.00
2026.03.04 04:00:00,15001.20,15001.20,0.00
2026.03.04 08:00:00,15001.20,15001.20,0.00
2026.03.04 12:00:00,15001.20,15001.20,0.00
2026.03.04 16:00:00,15001.20,15001.20,0.00
2026.03.04 20:00:00,15001.20,15001.08,-0.12
2026.03.05 00:05:36,15001.08,15001.08,0.00
2026.03.05 04:00:00,15001.08,15001.08,0.00
2026.03.05 08:00:00,15001.08,15001.08,0.00
2026.03.05 12:00:00,15001.08,15001.08,0.00
2026.03.05 16:00:00,15001.08,15001.08,0.00
2026.03.05 20:00:00,15001.08,15001.08,0.00
2026.03.06 00:05:00,15001.08,15001.08,0.00
2026.03.06 04:00:00,15001.08,15001.08,0.00
2026.03.06 08:00:00,15001.08,15001.08,0.00
2026.03.06 12:00:00,15001.08,15001.08,0.00
2026.03.06 16:00:00,15001.08,15001.08,0.00
2026.03.06 20:00:00,15001.08,15001.08,0.00
2026.03.09 00:00:00,15001.08,15001.08,0.00
2026.03.09 04:00:00,15001.08,15001.08,0.00
2026.03.09 08:00:00,15001.08,15001.08,0.00
2026.03.09 12:00:00,15001.08,15001.08,0.00
2026.03.09 16:00:00,15001.08,15001.08,0.00
2026.03.09 20:00:00,15001.08,15001.08,0.00
2026.03.10 00:00:00,15001.08,15001.08,0.00
2026.03.10 04:00:00,15001.08,15000.95,-0.13
2026.03.10 08:00:00,15001.08,15000.10,-0.98
2026.03.10 12:00:00,15001.08,14999.94,-1.14
2026.03.10 16:00:00,15001.08,14999.51,-1.57
2026.03.10 20:00:00,15001.08,14998.98,-2.10
2026.03.11 00:00:00,15001.08,14999.64,-1.44
2026.03.11 04:00:00,15001.08,14999.17,-1.91
2026.03.11 08:00:00,15001.08,14998.35,-2.73
2026.03.11 12:00:00,15001.08,14999.25,-1.83
2026.03.11 16:00:00,15001.08,15000.33,-0.75
2026.03.11 20:00:00,15001.08,15000.12,-0.96
2026.03.12 00:00:00,15001.08,15000.34,-0.74
2026.03.12 04:00:00,15001.08,14999.99,-1.09
2026.03.12 08:00:00,15001.08,15000.80,-0.28
2026.03.12 12:00:00,15001.08,15000.27,-0.81
2026.03.12 16:00:00,15001.08,15001.89,0.81
2026.03.12 20:00:00,15001.08,15003.18,2.10
2026.03.13 00:00:00,15003.17,15003.17,0.00
