ticket,direction,open_time,entry,exit_time,exit,lot,realized_profit,mfe_pips,mae_pips,duration_hours,exit_comment
2,buy,2025.01.03 20:00:00,1.02982,2025.01.06 12:00:00,1.03557,0.01,5.61,70.80,-5.70,64.00,
4,sell,2025.01.07 16:00:00,1.03965,2025.01.07 20:00:00,1.03672,0.01,2.90,42.30,-1.40,4.00,
6,buy,2025.01.13 20:00:00,1.02182,2025.01.14 20:00:00,1.02881,0.01,6.85,86.10,-11.30,24.00,
8,sell,2025.01.21 12:00:00,1.03535,2025.01.21 17:35:19,1.04036,0.01,-5.04,10.30,-49.40,5.59,sl 1.04035
10,sell,2025.01.29 08:00:00,1.04411,2025.01.29 09:22:46,1.04311,0.01,0.97,9.90,-2.90,1.38,
12,buy,2025.02.04 04:00:00,1.03223,2025.02.04 07:11:50,1.02723,0.01,-5.03,1.70,-49.80,3.20,sl 1.02723
14,sell,2025.02.14 00:05:00,1.04630,2025.02.14 16:45:47,1.05130,0.01,-5.03,15.50,-49.90,16.68,sl 1.05130
16,sell,2025.02.24 12:00:00,1.04720,2025.02.24 16:00:00,1.04667,0.01,0.50,11.70,-9.50,4.00,
18,buy,2025.03.03 04:00:00,1.04200,2025.03.03 16:00:00,1.04720,0.01,5.17,56.30,-31.50,12.00,
20,sell,2025.03.06 20:00:00,1.07970,2025.03.07 10:28:46,1.08470,0.01,-5.02,31.20,-49.90,14.48,sl 1.08470
22,sell,2025.03.18 16:00:00,1.09115,2025.03.19 12:00:00,1.09076,0.01,0.37,38.10,-40.40,20.00,
24,buy,2025.03.24 12:00:00,1.08429,2025.03.24 16:53:10,1.07928,0.01,-5.04,11.80,-49.90,4.89,sl 1.07929
26,sell,2025.04.04 12:00:00,1.09967,2025.04.04 13:32:10,1.10473,0.01,-5.09,31.90,-49.90,1.54,sl 1.10467
28,buy,2025.04.09 04:00:00,1.10150,2025.04.09 04:00:00,1.10152,0.01,-0.01,0.00,-0.40,0.00,
30,sell,2025.04.11 20:00:00,1.13052,2025.04.14 01:33:51,1.13552,0.01,-5.02,22.40,-49.70,53.56,sl 1.13552
32,sell,2025.04.23 12:00:00,1.14129,2025.04.23 13:23:45,1.14027,0.01,0.99,10.00,-27.00,1.40,
34,buy,2025.05.02 08:00:00,1.13044,2025.05.02 20:00:00,1.13193,0.01,1.46,76.40,-2.00,12.00,
36,buy,2025.05.13 16:00:00,1.11308,2025.05.14 12:00:00,1.12392,0.01,10.70,121.30,-3.40,20.00,
38,sell,2025.05.22 12:00:00,1.13018,2025.05.23 12:50:14,1.13520,0.01,-5.04,45.70,-49.80,24.84,sl 1.13518
41,buy,2025.06.04 20:00:00,1.14332,2025.06.04 20:00:00,1.14334,0.01,-0.01,0.00,-0.20,0.00,
40,sell,2025.06.03 12:00:00,1.14115,2025.06.05 16:13:23,1.14615,0.01,-5.00,54.10,-49.30,52.22,sl 1.14615
44,sell,2025.06.09 08:00:00,1.14183,2025.06.09 14:33:59,1.14081,0.01,0.99,9.90,-21.10,6.57,
46,sell,2025.06.13 04:00:00,1.15587,2025.06.16 17:04:22,1.16087,0.01,-5.02,69.50,-49.80,85.07,sl 1.16087
48,sell,2025.06.27 04:00:00,1.16919,2025.06.27 15:50:53,1.17420,0.01,-5.04,8.20,-49.70,11.85,sl 1.17419
50,buy,2025.07.08 04:00:00,1.17435,2025.07.08 17:07:33,1.16934,0.01,-5.04,21.80,-49.90,13.13,sl 1.16935
52,sell,2025.07.23 16:00:00,1.17250,2025.07.23 22:06:31,1.17752,0.01,-5.05,13.80,-49.70,6.11,sl 1.17750
54,buy,2025.07.28 04:00:00,1.17641,2025.07.28 04:00:00,1.17641,0.01,-0.03,0.00,-0.30,0.00,
56,buy,2025.07.30 04:00:00,1.15676,2025.07.30 15:15:00,1.15165,0.01,-5.14,5.00,-49.30,11.25,sl 1.15176
58,buy,2025.08.04 04:00:00,1.15580,2025.08.04 04:46:43,1.15682,0.01,0.99,9.50,-7.80,0.78,
60,sell,2025.08.14 12:00:00,1.16682,2025.08.14 16:00:00,1.16643,0.01,0.36,18.60,-29.30,4.00,
62,buy,2025.08.27 20:00:00,1.16386,2025.08.28 04:00:00,1.16454,0.01,0.32,10.80,-10.90,8.00,
64,sell,2025.08.29 16:00:00,1.16586,2025.08.29 18:02:25,1.17086,0.01,-5.03,4.80,-49.70,2.04,sl 1.17086
66,sell,2025.09.09 16:00:00,1.17376,2025.09.10 12:00:00,1.16995,0.01,3.79,54.90,-25.40,20.00,
68,sell,2025.09.17 16:00:00,1.18435,2025.09.17 21:03:06,1.18941,0.01,-5.09,0.90,-49.80,5.05,sl 1.18935
70,buy,2025.09.26 20:00:00,1.16931,2025.09.29 16:00:00,1.17501,0.01,5.56,58.10,-2.40,68.00,
72,sell,2025.09.30 08:00:00,1.17285,2025.09.30 16:25:45,1.17182,0.01,1.00,9.50,-32.90,8.43,
74,buy,2025.10.07 04:00:02,1.17086,2025.10.07 14:25:32,1.16582,0.01,-5.07,0.10,-49.50,10.43,sl 1.16586
76,sell,2025.10.17 16:00:00,1.16764,2025.10.21 08:00:00,1.16359,0.01,4.04,44.40,-4.90,88.00,
78,buy,2025.10.22 20:00:01,1.16193,2025.10.24 16:00:00,1.16344,0.01,1.04,28.40,-33.80,44.00,
80,sell,2025.10.28 16:00:02,1.16397,2025.10.29 12:00:00,1.16221,0.01,1.74,17.10,-29.30,20.00,
82,buy,2025.11.06 00:05:00,1.14943,2025.11.06 16:00:00,1.15359,0.01,4.13,49.80,-4.90,15.92,
84,sell,2025.11.10 04:00:00,1.15582,2025.11.13 09:50:36,1.16084,0.01,-5.01,17.00,-49.80,77.84,sl 1.16082
86,sell,2025.11.17 20:00:05,1.15937,2025.11.17 21:59:37,1.15834,0.01,1.00,9.80,-1.50,1.99,
