ticket,direction,open_time,entry,exit_time,exit,lot,realized_profit,mfe_pips,mae_pips,duration_hours,exit_comment
2,buy,2025.01.03 20:00:00,1.02982,2025.01.06 16:00:00,1.04170,0.01,11.74,138.60,-5.70,68.00,
4,buy,2025.01.13 20:00:00,1.02182,2025.01.15 04:00:03,1.03000,0.01,7.93,90.10,-11.30,32.00,
6,sell,2025.01.21 12:00:00,1.03535,2025.01.21 17:35:19,1.04036,0.01,-5.04,10.30,-49.40,5.59,sl 1.04035
8,buy,2025.01.31 20:00:00,1.04202,2025.01.31 20:33:20,1.03687,0.01,-5.18,1.50,-49.90,0.56,sl 1.03702
10,buy,2025.02.06 08:00:00,1.03867,2025.02.06 08:00:04,1.03869,0.01,-0.01,0.00,-0.20,0.00,
12,buy,2025.03.03 04:00:00,1.04200,2025.03.03 16:00:00,1.04720,0.01,5.17,56.30,-31.50,12.00,
14,sell,2025.03.06 20:00:00,1.07970,2025.03.07 10:28:46,1.08470,0.01,-5.02,31.20,-49.90,14.48,sl 1.08470
16,buy,2025.03.24 12:00:00,1.08429,2025.03.24 16:53:10,1.07928,0.01,-5.04,11.80,-49.90,4.89,sl 1.07929
18,sell,2025.04.04 12:00:00,1.09967,2025.04.04 13:32:10,1.10473,0.01,-5.09,31.90,-49.90,1.54,sl 1.10467
20,buy,2025.04.10 16:00:00,1.10978,2025.04.10 16:00:00,1.10978,0.01,-0.03,0.00,-0.20,0.00,
22,sell,2025.04.11 20:00:00,1.13052,2025.04.14 01:33:51,1.13552,0.01,-5.02,22.40,-49.70,53.56,sl 1.13552
24,sell,2025.04.22 04:00:00,1.14904,2025.04.22 06:42:13,1.15406,0.01,-5.05,4.50,-49.90,2.70,sl 1.15404
26,buy,2025.05.02 08:00:00,1.13044,2025.05.02 20:00:00,1.13193,0.01,1.46,76.40,-2.00,12.00,
28,buy,2025.05.13 16:00:00,1.11308,2025.05.14 16:00:01,1.12256,0.01,9.34,134.80,-3.40,24.00,
30,sell,2025.05.22 12:00:00,1.13018,2025.05.23 00:05:03,1.12823,0.01,1.93,45.70,-13.30,12.08,
32,buy,2025.06.04 20:00:00,1.14332,2025.06.04 20:00:00,1.14334,0.01,-0.01,0.00,-0.20,0.00,
34,sell,2025.06.13 04:00:00,1.15587,2025.06.16 17:04:22,1.16087,0.01,-5.02,69.50,-49.80,85.07,sl 1.16087
36,buy,2025.06.20 04:00:00,1.15229,2025.06.23 00:05:00,1.14563,0.01,-6.80,21.00,-27.80,68.08,sl 1.14729
38,sell,2025.06.27 04:00:00,1.16919,2025.06.27 15:50:53,1.17420,0.01,-5.04,8.20,-49.70,11.85,sl 1.17419
40,buy,2025.07.08 04:00:00,1.17435,2025.07.08 17:07:33,1.16934,0.01,-5.04,21.80,-49.90,13.13,sl 1.16935
42,sell,2025.07.23 16:00:00,1.17250,2025.07.23 22:06:31,1.17752,0.01,-5.05,13.80,-49.70,6.11,sl 1.17750
44,buy,2025.07.30 04:00:00,1.15676,2025.07.30 15:15:00,1.15165,0.01,-5.14,5.00,-49.30,11.25,sl 1.15176
46,buy,2025.08.04 04:00:00,1.15580,2025.08.04 04:46:43,1.15682,0.01,0.99,9.50,-7.80,0.78,
48,buy,2025.08.20 16:00:00,1.16711,2025.08.21 16:45:00,1.16206,0.01,-5.41,1.30,-49.20,24.75,sl 1.16211
50,buy,2025.08.27 20:00:00,1.16386,2025.08.28 16:00:00,1.16694,0.01,2.72,48.50,-10.90,20.00,
52,sell,2025.09.09 16:00:00,1.17376,2025.09.10 04:00:01,1.16974,0.01,4.00,41.40,-25.40,12.00,
54,sell,2025.09.17 16:00:00,1.18435,2025.09.17 21:03:06,1.18941,0.01,-5.09,0.90,-49.80,5.05,sl 1.18935
56,sell,2025.09.24 12:00:02,1.17726,2025.09.24 13:13:38,1.17619,0.01,1.04,10.00,-2.40,1.23,
58,buy,2025.09.26 20:00:00,1.16931,2025.09.30 12:00:01,1.17552,0.01,5.96,68.00,-2.40,88.00,
60,buy,2025.10.07 04:00:02,1.17086,2025.10.07 14:25:32,1.16582,0.01,-5.07,0.10,-49.50,10.43,sl 1.16586
62,sell,2025.10.17 16:00:00,1.16764,2025.10.20 16:00:00,1.16537,0.01,2.25,31.80,-4.90,72.00,
64,buy,2025.10.22 20:00:01,1.16193,2025.10.24 16:00:00,1.16344,0.01,1.04,28.40,-33.80,44.00,
66,buy,2025.11.06 00:05:00,1.14943,2025.11.06 20:00:01,1.15408,0.01,4.62,49.80,-4.90,19.92,
68,sell,2025.11.14 12:00:00,1.16217,2025.11.17 08:00:00,1.16003,0.01,2.12,25.30,-32.30,68.00,
70,buy,2025.11.21 04:00:00,1.15331,2025.11.25 16:00:00,1.15584,0.01,2.28,28.80,-41.90,108.00,
72,buy,2025.12.01 12:00:00,1.16222,2025.12.01 12:00:01,1.16222,0.01,-0.03,0.00,-0.10,0.00,
74,sell,2025.12.04 20:00:00,1.16560,2025.12.05 20:00:02,1.16445,0.01,1.13,27.90,-15.80,24.00,
76,sell,2025.12.12 16:00:00,1.17270,2025.12.16 14:58:46,1.17771,0.01,-5.02,3.70,-49.90,94.98,sl 1.17770
78,buy,2026.01.02 04:00:06,1.17609,2026.01.05 00:57:48,1.17109,0.01,-5.14,3.90,-49.90,68.96,sl 1.17109
80,buy,2026.01.12 20:00:01,1.16682,2026.01.15 15:02:14,1.16178,0.01,-5.62,9.10,-49.50,67.04,sl 1.16182
